Peers,Torrents
1,397121
2,202599
3,107501
4,60794
5,41367
6,31096
7,25124
8,21042
9,17515
10,15368
11,13276
12,11662
13,10562
14,9501
15,8763
16,7957
17,7412
18,6860
19,6407
20,5857
21,5483
22,5076
23,4949
24,4465
25,4202
26,4111
27,3834
28,3672
29,3387
30,3290
31,3128
32,2968
33,2776
34,2755
35,2598
36,2476
37,2391
38,2280
39,2166
40,2077
41,2072
42,2099
43,1984
44,1955
45,1865
46,1814
47,1715
48,1642
49,1529
50,1540
51,1524
52,1464
53,1376
54,1276
55,1394
56,1256
57,1236
58,1212
59,1239
60,1161
61,1130
62,1127
63,1075
64,1040
65,1040
66,928
67,982
68,949
69,898
70,885
71,897
72,836
73,848
74,828
75,778
76,824
77,733
78,713
79,775
80,747
81,712
82,693
83,702
84,661
85,690
86,625
87,641
88,663
89,611
90,640
91,586
92,582
93,553
94,583
95,594
96,533
97,525
98,522
99,505
100,549
101,519
102,493
103,454
104,472
105,466
106,454
107,474
108,445
109,467
110,437
111,414
112,430
113,391
114,419
115,411
116,399
117,392
118,370
119,396
120,392
121,384
122,379
123,359
124,332
125,336
126,363
127,339
128,363
129,358
130,350
131,329
132,337
133,366
134,314
135,310
136,322
137,321
138,285
139,269
140,261
141,283
142,269
143,254
144,271
145,276
146,269
147,263
148,257
149,251
150,282
151,243
152,271
153,228
154,262
155,247
156,237
157,217
158,242
159,240
160,235
161,222
162,234
163,224
164,258
165,204
166,208
167,204
168,209
169,196
170,232
171,207
172,230
173,202
174,207
175,190
176,224
177,198
178,185
179,176
180,182
181,197
182,204
183,175
184,189
185,172
186,193
187,172
188,161
189,148
190,191
191,189
192,156
193,179
194,165
195,161
196,152
197,172
198,132
199,155
200,158
201,137
202,176
203,167
204,145
205,151
206,141
207,125
208,143
209,140
210,146
211,136
212,115
213,146
214,121
215,166
216,143
217,131
218,151
219,134
220,139
221,117
222,135
223,126
224,145
225,122
226,111
227,124
228,134
229,118
230,127
231,128
232,154
233,126
234,143
235,135
236,107
237,128
238,113
239,96
240,127
241,118
242,116
243,100
244,96
245,114
246,111
247,111
248,103
249,95
250,119
251,116
252,106
253,93
254,85
255,90
256,115
257,109
258,87
259,99
260,94
261,96
262,95
263,95
264,93
265,103
266,120
267,100
268,87
269,90
270,108
271,74
272,93
273,75
274,77
275,107
276,94
277,89
278,110
279,80
280,109
281,83
282,91
283,96
284,71
285,80
286,92
287,82
288,99
289,82
290,84
291,84
292,83
293,90
294,82
295,71
296,63
297,77
298,81
299,78
300,68
301,75
302,65
303,72
304,69
305,74
306,67
307,63
308,82
309,91
310,73
311,72
312,75
313,72
314,65
315,83
316,81
317,74
318,69
319,67
320,68
321,81
322,68
323,74
324,71
325,61
326,89
327,72
328,67
329,65
330,57
331,68
332,73
333,56
334,67
335,62
336,62
337,59
338,53
339,64
340,71
341,64
342,55
343,66
344,67
345,61
346,52
347,60
348,45
349,69
350,50
351,52
352,58
353,62
354,56
355,60
356,47
357,62
358,79
359,56
360,72
361,52
362,65
363,54
364,39
365,43
366,63
367,47
368,49
369,56
370,50
371,58
372,48
373,63
374,45
375,40
376,56
377,42
378,38
379,55
380,43
381,36
382,57
383,56
384,56
385,58
386,45
387,62
388,58
389,48
390,54
391,47
392,54
393,47
394,48
395,38
396,36
397,42
398,44
399,48
400,41
401,46
402,52
403,43
404,45
405,39
406,40
407,50
408,64
409,50
410,50
411,40
412,53
413,32
414,41
415,45
416,48
417,41
418,48
419,49
420,37
421,47
422,41
423,34
424,40
425,43
426,37
427,46
428,39
429,52
430,36
431,42
432,33
433,31
434,32
435,48
436,37
437,49
438,44
439,41
440,24
441,39
442,43
443,39
444,42
445,36
446,38
447,33
448,28
449,32
450,40
451,38
452,29
453,30
454,41
455,34
456,44
457,33
458,31
459,23
460,36
461,32
462,43
463,34
464,38
465,38
466,37
467,42
468,30
469,31
470,32
471,30
472,33
473,34
474,39
475,25
476,29
477,40
478,44
479,22
480,40
481,38
482,24
483,37
484,38
485,29
486,26
487,34
488,33
489,32
490,32
491,25
492,36
493,26
494,31
495,34
496,31
497,27
498,35
499,32
500,25
501,27
502,30
503,30
504,27
505,28
506,26
507,29
508,28
509,53
510,30
511,23
512,25
513,20
514,25
515,30
516,24
517,35
518,26
519,15
520,34
521,23
522,25
523,26
524,34
525,23
526,27
527,34
528,32
529,25
530,25
531,26
532,22
533,38
534,24
535,31
536,22
537,24
538,25
539,31
540,25
541,19
542,24
543,22
544,24
545,26
546,26
547,31
548,24
549,23
550,22
551,18
552,28
553,18
554,22
555,25
556,32
557,29
558,26
559,24
560,15
561,25
562,37
563,23
564,27
565,28
566,20
567,28
568,23
569,23
570,19
571,24
572,26
573,23
574,12
575,24
576,19
577,18
578,20
579,19
580,27
581,24
582,22
583,15
584,16
585,15
586,20
587,26
588,15
589,22
590,27
591,26
592,16
593,18
594,19
595,23
596,24
597,24
598,19
599,16
600,17
601,15
602,24
603,23
604,25
605,20
606,16
607,22
608,17
609,19
610,14
611,13
612,19
613,31
614,28
615,23
616,19
617,21
618,17
619,27
620,20
621,19
622,24
623,27
624,27
625,17
626,19
627,24
628,23
629,23
630,17
631,27
632,24
633,15
634,14
635,24
636,19
637,8
638,14
639,15
640,21
641,24
642,18
643,11
644,18
645,16
646,29
647,13
648,13
649,22
650,29
651,27
652,22
653,16
654,20
655,18
656,20
657,18
658,18
659,19
660,18
661,22
662,15
663,15
664,12
665,11
666,19
667,12
668,13
669,20
670,16
671,11
672,28
673,17
674,18
675,19
676,13
677,14
678,15
679,15
680,12
681,19
682,19
683,22
684,18
685,14
686,15
687,20
688,17
689,16
690,20
691,18
692,12
693,12
694,13
695,16
696,20
697,12
698,19
699,21
700,24
701,18
702,14
703,17
704,15
705,12
706,21
707,15
708,16
709,12
710,12
711,24
712,19
713,16
714,8
715,15
716,12
717,17
718,20
719,14
720,17
721,14
722,13
723,13
724,20
725,17
726,9
727,17
728,13
729,8
730,15
731,15
732,12
733,20
734,17
735,23
736,17
737,17
738,8
739,15
740,12
741,17
742,19
743,11
744,9
745,17
746,15
747,14
748,7
749,19
750,12
751,16
752,16
753,14
754,15
755,12
756,14
757,12
758,20
759,19
760,15
761,10
762,11
763,14
764,10
765,21
766,15
767,10
768,16
769,17
770,13
771,8
772,14
773,11
774,17
775,15
776,18
777,17
778,12
779,15
780,8
781,17
782,13
783,19
784,20
785,14
786,16
787,10
788,10
789,16
790,9
791,12
792,15
793,11
794,17
795,19
796,14
797,13
798,10
799,15
800,9
801,12
802,9
803,15
804,15
805,17
806,14
807,15
808,15
809,9
810,21
811,13
812,18
813,17
814,13
815,12
816,4
817,9
818,13
819,9
820,16
821,18
822,10
823,14
824,15
825,8
826,9
827,9
828,14
829,12
830,11
831,16
832,12
833,7
834,12
835,10
836,11
837,8
838,9
839,16
840,8
841,10
842,14
843,9
844,8
845,15
846,14
847,13
848,9
849,12
850,10
851,11
852,10
853,12
854,16
855,2
856,12
857,14
858,10
859,11
860,8
861,13
862,15
863,10
864,8
865,11
866,4
867,14
868,13
869,10
870,15
871,12
872,12
873,18
874,10
875,13
876,13
877,12
878,8
879,10
880,9
881,14
882,13
883,12
884,7
885,11
886,12
887,9
888,14
889,10
890,17
891,10
892,8
893,10
894,13
895,14
896,6
897,6
898,15
899,5
900,15
901,15
902,12
903,11
904,7
905,9
906,1
907,5
908,11
909,7
910,6
911,13
912,5
913,7
914,11
915,8
916,12
917,10
918,10
919,5
920,8
921,10
922,5
923,9
924,10
925,7
926,3
927,8
928,12
929,13
930,14
931,7
932,6
933,8
934,6
935,14
936,10
937,11
938,8
939,11
940,13
941,6
942,10
943,13
944,10
945,8
946,15
947,9
948,11
949,9
950,8
951,12
952,15
953,7
954,9
955,10
956,12
957,7
958,16
959,9
960,8
961,9
962,8
963,7
964,8
965,10
966,10
967,8
968,6
969,6
970,10
971,3
972,8
973,10
974,10
975,13
976,11
977,5
978,6
979,8
980,15
981,9
982,15
983,9
984,12
985,5
986,10
987,10
988,8
989,12
990,7
991,7
992,10
993,12
994,4
995,8
996,8
997,6
998,11
999,7
1000,10
1001,14
1002,17
1003,7
1004,6
1005,7
1006,12
1007,9
1008,7
1009,11
1010,8
1011,9
1012,12
1013,7
1014,5
1015,13
1016,7
1017,13
1018,5
1019,11
1020,8
1021,12
1022,11
1023,9
1024,10
1025,15
1026,6
1027,6
1028,12
1029,12
1030,9
1031,5
1032,10
1033,6
1034,6
1035,8
1036,8
1037,8
1038,8
1039,9
1040,10
1041,6
1042,5
1043,10
1044,10
1045,4
1046,7
1047,9
1048,3
1049,9
1050,8
1051,9
1052,10
1053,7
1054,6
1055,5
1056,10
1057,7
1058,8
1059,9
1060,11
1061,10
1062,4
1063,6
1064,7
1065,7
1066,7
1067,5
1068,6
1069,11
1070,11
1071,8
1072,11
1073,4
1074,13
1075,8
1076,11
1077,5
1078,4
1079,9
1080,4
1081,9
1082,5
1083,5
1084,5
1085,7
1086,8
1087,3
1088,8
1089,6
1090,4
1091,8
1092,8
1093,10
1094,10
1095,10
1096,9
1097,5
1098,4
1099,9
1100,6
1101,10
1102,11
1103,5
1104,3
1105,12
1106,7
1107,8
1108,4
1109,10
1110,8
1111,7
1112,15
1113,7
1114,10
1115,3
1116,14
1117,8
1118,5
1119,9
1120,16
1121,7
1122,9
1123,13
1124,7
1125,3
1126,11
1127,7
1128,7
1129,11
1130,5
1131,4
1132,5
1133,7
1134,7
1135,8
1136,9
1137,5
1138,8
1139,10
1140,6
1141,6
1142,3
1143,6
1144,7
1145,11
1146,7
1147,3
1148,7
1149,5
1150,9
1151,4
1152,3
1153,4
1154,5
1155,10
1156,9
1157,6
1158,11
1159,9
1160,3
1161,7
1162,5
1163,7
1164,9
1165,6
1166,5
1167,7
1168,5
1169,6
1170,6
1171,11
1172,2
1173,2
1174,8
1175,6
1176,8
1177,5
1178,3
1179,8
1180,3
1181,5
1182,5
1183,4
1184,4
1185,7
1186,6
1187,6
1188,4
1189,10
1190,7
1191,6
1192,4
1193,7
1194,2
1195,7
1196,6
1197,7
1198,10
1199,7
1200,2
1201,9
1202,4
1203,7
1204,4
1205,4
1206,8
1207,4
1208,2
1209,6
1210,6
1211,8
1212,5
1213,2
1214,9
1215,4
1216,10
1217,10
1218,5
1219,8
1220,10
1221,6
1222,5
1223,7
1224,10
1225,4
1226,4
1227,5
1228,7
1229,3
1230,4
1231,6
1232,7
1233,9
1234,3
1235,5
1236,2
1237,1
1238,4
1239,10
1240,6
1241,7
1242,6
1243,9
1244,3
1245,8
1246,4
1247,7
1248,5
1249,10
1250,8
1251,3
1252,4
1253,3
1254,9
1255,4
1256,2
1257,7
1258,6
1259,6
1260,7
1261,1
1262,5
1263,4
1264,7
1265,6
1266,3
1267,2
1268,4
1269,9
1270,6
1271,6
1272,7
1273,5
1274,2
1275,6
1276,7
1277,6
1278,6
1279,9
1280,5
1281,5
1282,3
1283,11
1284,1
1285,4
1286,3
1287,4
1288,5
1289,5
1290,3
1291,4
1292,5
1293,5
1294,2
1295,3
1296,7
1297,8
1298,5
1299,5
1300,4
1301,4
1302,7
1303,3
1304,8
1305,7
1306,7
1307,4
1308,4
1309,8
1310,8
1311,5
1312,4
1313,9
1314,3
1315,5
1316,5
1317,6
1318,2
1319,7
1320,4
1321,3
1322,8
1323,7
1324,5
1325,8
1326,7
1327,7
1328,7
1329,3
1330,5
1331,5
1332,3
1333,6
1334,6
1335,4
1336,4
1337,5
1338,7
1339,1
1340,6
1341,11
1342,7
1343,9
1344,1
1345,5
1346,6
1347,7
1348,6
1349,11
1350,6
1351,6
1352,4
1353,4
1354,4
1355,8
1356,3
1357,6
1358,2
1359,7
1360,4
1361,3
1362,3
1363,6
1364,5
1365,7
1366,7
1367,8
1368,8
1369,10
1370,9
1371,7
1372,4
1373,11
1374,6
1375,6
1376,2
1377,6
1378,3
1379,3
1380,3
1381,5
1382,6
1383,1
1384,2
1385,7
1386,3
1387,5
1388,6
1389,3
1390,9
1391,9
1392,7
1393,8
1394,5
1395,2
1396,3
1397,3
1398,4
1399,6
1400,8
1401,7
1402,4
1403,5
1404,7
1405,4
1406,2
1407,5
1408,7
1409,5
1410,5
1411,5
1412,5
1413,6
1414,3
1415,3
1416,5
1417,3
1418,2
1419,5
1420,6
1421,3
1422,3
1423,9
1424,6
1425,2
1426,11
1427,5
1428,8
1429,9
1430,3
1431,4
1432,9
1433,1
1434,2
1435,4
1436,5
1437,8
1438,5
1439,7
1440,8
1441,4
1442,3
1443,3
1444,7
1445,3
1446,2
1447,5
1448,5
1449,3
1450,6
1451,4
1452,4
1453,7
1454,5
1455,6
1456,4
1457,5
1458,8
1459,3
1460,5
1461,12
1462,2
1463,5
1464,8
1465,4
1466,6
1467,3
1468,3
1469,2
1470,3
1471,8
1472,9
1473,6
1474,10
1475,2
1477,7
1478,1
1479,3
1480,6
1481,5
1482,2
1483,6
1484,4
1485,7
1486,5
1487,8
1488,3
1489,3
1490,5
1491,6
1492,3
1493,2
1494,4
1495,5
1496,6
1497,4
1498,7
1499,4
1500,4
1501,3
1502,6
1503,3
1504,7
1505,4
1506,5
1507,6
1508,6
1509,5
1510,3
1511,5
1512,4
1513,3
1514,2
1515,4
1516,4
1517,3
1518,6
1519,1
1520,3
1521,8
1522,3
1523,4
1524,3
1525,4
1526,3
1527,8
1528,5
1529,4
1530,3
1531,8
1532,3
1533,4
1534,5
1535,2
1536,3
1537,6
1538,6
1539,4
1540,4
1541,5
1542,1
1543,4
1544,6
1545,2
1546,4
1547,3
1548,2
1549,7
1550,2
1551,2
1552,6
1553,6
1554,8
1555,5
1556,5
1557,4
1558,5
1559,4
1560,3
1561,2
1562,4
1563,5
1564,5
1565,1
1566,5
1567,3
1568,6
1569,4
