time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 999.0, 482.01301, 22.71503, 0.0, 430187.736, 0.0, 999.0
2, 0.0, 25.45, 458.27112, 44.04964, 49.892, 412480.784, 25767.434, 975.558
3, 0.0, 36.244, 460.32447, 45.39547, 24.468, 417853.808, 36521.982, 987.334
4, 0.0, 25.234, 457.55726, 46.82539, 25.102, 418219.528, 47606.356, 987.466
5, 0.0, 24.988, 458.17993, 47.84505, 25.142, 418455.942, 58713.932, 987.312
6, 0.0, 25.02, 457.39408, 48.98191, 24.756, 418797.382, 69668.566, 987.576
7, 0.0, 24.732, 459.16222, 50.09889, 24.794, 419029.464, 80620.914, 987.514
8, 0.0, 25.0, 458.12, 51.20178, 25.354, 419048.382, 91876.096, 987.16
9, 0.0, 25.416, 458.17595, 52.28785, 25.152, 419363.004, 102969.946, 987.424
10, 0.0, 25.066, 458.7489, 53.40151, 25.206, 419483.228, 114099.426, 987.284
11, 777.622, 15.634, 456.76091, 54.31704, 5.83534, 422668.576, 116502.358, 219.484
12, 771.834, 18.458, 458.60873, 54.75192, 30.992, 416980.464, 129875.008, 212.738
13, 787.05, 24.298, 458.8855, 55.67166, 18.032, 418948.212, 137547.372, 203.788
14, 793.308, 18.578, 458.39165, 56.53476, 18.572, 418257.932, 145478.112, 197.536
15, 799.512, 18.048, 457.66844, 57.28874, 18.022, 417622.244, 153088.942, 191.358
16, 805.278, 18.356, 459.08695, 58.07713, 18.454, 416989.624, 160867.336, 185.494
17, 811.254, 18.178, 458.5763, 58.62704, 17.794, 416567.778, 168321.926, 179.902
18, 816.97, 17.876, 459.55471, 59.38564, 18.168, 415896.592, 175928.782, 173.894
19, 822.914, 18.378, 459.62564, 59.89381, 18.312, 415420.046, 183558.998, 168.016
20, 828.434, 18.088, 458.42548, 60.6938, 17.936, 414920.244, 191052.034, 162.648
21, 826.402, 18.17, 460.31921, 61.34374, 18.214, 414423.982, 198600.874, 164.636
22, 826.872, 18.062, 460.02658, 62.03201, 18.082, 413916.288, 206083.766, 164.146
23, 831.928, 17.872, 459.99329, 62.65734, 17.796, 413474.162, 213392.884, 159.166
24, 832.404, 17.888, 456.84258, 63.40761, 18.14, 412850.66, 220836.752, 158.438
25, 832.538, 18.012, 457.58383, 64.0546, 17.724, 412447.626, 228099.142, 158.592
26, 832.58, 17.98, 458.23137, 64.75749, 18.152, 411894.258, 235502.75, 158.378
27, 832.796, 18.014, 457.75508, 65.38358, 18.026, 411433.184, 242797.152, 158.15
28, 832.532, 18.106, 458.6325, 66.1427, 18.164, 410941.712, 250169.162, 158.356
29, 832.552, 18.278, 456.45038, 66.85701, 18.092, 410538.85, 257466.636, 158.522
30, 832.742, 17.926, 458.88653, 67.42293, 18.004, 410061.872, 264714.974, 158.254
31, 833.096, 17.838, 459.02007, 68.02296, 17.754, 409659.69, 271830.5, 157.984
32, 833.528, 17.848, 458.09054, 68.76211, 17.74, 409320.882, 278848.884, 157.66
33, 833.284, 18.05, 459.00277, 69.52553, 18.226, 408829.392, 286129.536, 157.728
34, 833.26, 18.014, 458.53225, 70.08838, 17.888, 408446.8, 293258.978, 157.878
35, 833.294, 17.846, 460.1031, 70.77798, 18.078, 407948.404, 300443.366, 157.612
36, 833.188, 17.884, 458.78998, 71.3259, 17.956, 407551.81, 307498.632, 157.646
37, 833.54, 18.198, 458.89658, 71.99305, 17.892, 407280.182, 314548.614, 157.6
38, 833.548, 17.776, 458.14581, 72.54789, 18.084, 406768.536, 321637.716, 157.284
39, 833.704, 18.168, 460.09467, 73.39203, 18.06, 406469.516, 328697.2, 157.236
40, 833.84, 17.91, 462.36739, 73.93407, 17.722, 406238.768, 335589.526, 157.288
41, 833.658, 17.758, 458.55389, 74.47931, 17.85, 405849.726, 342504.17, 157.378
42, 833.708, 17.944, 459.26215, 75.08664, 17.84, 405538.818, 349419.726, 157.432
43, 833.562, 17.75, 459.5493, 75.79134, 18.048, 405070.914, 356402.242, 157.28
44, 833.432, 18.138, 459.09141, 76.49994, 18.066, 404804.032, 363329.982, 157.482
45, 833.388, 18.074, 460.38508, 77.05072, 17.928, 404585.352, 370184.226, 157.672
46, 833.37, 18.08, 460.67478, 77.69708, 18.028, 404291.246, 377114.582, 157.742
47, 833.452, 18.044, 456.27355, 78.43107, 18.146, 403870.556, 384067.56, 157.558
48, 832.96, 17.968, 461.98798, 79.13035, 18.17, 403508.54, 391007.988, 157.848
49, 833.45, 18.074, 459.77647, 79.90866, 17.592, 403386.058, 397686.264, 157.84
50, 833.824, 17.678, 459.27141, 80.21961, 17.726, 403030.866, 404412.54, 157.418
51, 833.714, 17.76, 457.93919, 80.92008, 17.954, 402648.682, 411168.3, 157.334
52, 833.948, 17.772, 458.86788, 81.8, 17.646, 402390.272, 417791.07, 157.226
53, 833.74, 17.816, 459.75528, 82.22207, 18.034, 402007.472, 424580.198, 157.216
54, 833.838, 18.094, 459.26827, 82.90337, 18.104, 401720.73, 431371.134, 157.108
55, 833.928, 18.308, 461.05528, 83.51558, 18.046, 401610.342, 438085.376, 157.28
56, 834.048, 17.79, 460.31478, 84.1143, 17.794, 401331.68, 444716.486, 157.156
57, 833.944, 17.976, 460.94793, 84.81161, 18.184, 401004.442, 451477.412, 157.052
58, 833.97, 17.918, 461.37962, 85.23999, 17.938, 400753.708, 458128.852, 157.006
59, 834.066, 17.986, 458.5233, 85.93452, 18.074, 400456.486, 464793.004, 156.822
60, 833.996, 18.036, 459.96895, 86.55967, 17.914, 400237.496, 471414.294, 157.014
61, 833.332, 18.032, 458.51819, 87.19787, 18.374, 399846.562, 478181.43, 157.336
62, 832.976, 18.384, 460.40035, 87.95629, 18.062, 399794.214, 484761.726, 158.014
63, 832.52, 17.954, 460.78868, 88.69709, 17.94, 399593.866, 491295.052, 158.484
64, 832.538, 18.056, 459.18254, 89.11205, 18.016, 399349.234, 497878.96, 158.506
65, 832.88, 17.972, 462.38593, 89.79627, 17.972, 399197.042, 504368.198, 158.164
66, 832.996, 17.774, 461.29177, 90.50726, 17.616, 399080.03, 510695.22, 158.206
67, 832.8, 17.772, 457.29237, 90.93023, 18.094, 398720.316, 517203.13, 158.08
68, 832.696, 17.968, 462.8228, 91.5754, 17.95, 398566.954, 523657.388, 158.202
69, 832.712, 18.152, 462.37329, 92.25795, 18.178, 398386.49, 530210.784, 158.16
70, 832.484, 18.258, 461.0034, 92.78864, 18.16, 398220.82, 536753.522, 158.486
71, 832.76, 18.142, 458.71458, 93.42514, 17.978, 398069.622, 543170.978, 158.374
72, 833.178, 17.932, 460.18291, 94.17717, 17.872, 397916.604, 549510.098, 158.016
73, 832.86, 17.646, 459.82092, 94.64777, 18.154, 397512.246, 555973.342, 157.826
74, 832.954, 18.386, 459.42565, 95.17355, 18.166, 397390.098, 562443.908, 157.952
75, 832.642, 18.282, 458.81195, 95.98808, 18.196, 397248.296, 568864.74, 158.35
76, 832.676, 17.902, 461.45682, 96.28011, 17.776, 397130.776, 575121.076, 158.442
77, 832.764, 17.734, 461.14808, 97.02764, 17.862, 396954.394, 581344.954, 158.226
78, 832.788, 17.87, 460.88416, 97.71697, 18.01, 396707.674, 587696.052, 158.062
79, 832.794, 18.298, 461.5805, 98.14776, 18.068, 396646.132, 594035.494, 158.286
80, 833.264, 17.796, 460.60913, 98.93241, 17.96, 396411.594, 600303.346, 157.652
81, 833.408, 17.882, 459.95974, 99.47258, 17.96, 396176.53, 606587.486, 157.43
82, 833.164, 18.146, 459.38499, 100.09021, 18.112, 396007.316, 612889.294, 157.708
83, 833.17, 18.086, 460.46666, 100.75288, 17.798, 395998.518, 619001.792, 157.99
84, 833.368, 17.896, 461.4439, 101.39537, 18.004, 395859.18, 625172.152, 157.684
85, 833.41, 18.136, 461.45787, 101.80033, 18.27, 395696.13, 631464.794, 157.508
86, 833.432, 17.956, 461.34997, 102.48624, 17.842, 395627.598, 637560.366, 157.6
87, 833.332, 18.052, 460.77997, 103.13645, 17.826, 395557.852, 643673.66, 157.926
88, 833.36, 17.638, 459.57592, 103.61473, 17.776, 395323.824, 649743.46, 157.76
89, 833.776, 17.76, 462.5, 104.21804, 17.978, 395114.214, 655878.058, 157.126
90, 833.798, 18.02, 461.32075, 104.98617, 17.948, 395021.596, 661973.954, 157.176
91, 833.956, 17.832, 460.46433, 105.24674, 17.784, 394965.818, 667920.41, 157.066
92, 834.13, 18.016, 461.6452, 106.04064, 17.968, 394879.034, 673993.202, 156.94
93, 834.268, 18.106, 458.13542, 106.31501, 18.108, 394702.282, 680131.488, 156.8
94, 833.98, 17.706, 459.56173, 107.11675, 17.95, 394469.32, 686153.37, 156.844
95, 833.842, 18.292, 459.43582, 107.67551, 18.138, 394435.804, 692213.25, 157.136
96, 833.648, 18.082, 460.73443, 108.42144, 18.29, 394211.232, 698395.994, 157.122
97, 833.902, 18.26, 458.98138, 108.98174, 17.856, 394263.918, 704317.152, 157.272
98, 833.45, 18.01, 461.3548, 109.52377, 18.268, 394069.864, 710416.29, 157.466
99, 833.528, 17.722, 461.51676, 109.85512, 17.612, 394017.908, 716224.554, 157.498
100, 833.778, 17.912, 462.42742, 110.7886, 17.866, 393965.772, 722118.162, 157.294
101, 833.69, 17.898, 461.28059, 111.27616, 17.91, 393850.346, 728042.748, 157.37
102, 833.436, 18.302, 461.15179, 111.68744, 18.306, 393816.314, 734050.144, 157.62
103, 833.396, 18.064, 459.97564, 112.20039, 18.136, 393646.338, 740058.492, 157.588
104, 833.12, 18.0, 462.33333, 112.92129, 17.858, 393617.732, 745917.392, 158.006
105, 833.22, 17.818, 460.65776, 113.53996, 18.08, 393434.898, 751822.228, 157.644
106, 833.39, 18.074, 463.09616, 114.29642, 17.87, 393459.182, 757646.324, 157.678
107, 833.402, 18.034, 457.13652, 114.90745, 18.26, 393225.49, 763612.108, 157.44
108, 833.244, 18.402, 460.71079, 115.16006, 18.164, 393197.64, 769580.078, 157.836
109, 833.108, 17.956, 458.84384, 115.85593, 17.938, 393070.136, 775399.776, 157.99
110, 833.22, 17.822, 459.71271, 116.33272, 17.704, 393008.53, 781091.342, 157.996
111, 833.256, 17.78, 459.73003, 116.76609, 18.002, 392797.178, 786909.974, 157.738
112, 833.556, 17.874, 459.04666, 117.54455, 17.958, 392655.268, 792673.774, 157.354
113, 833.384, 18.29, 462.38382, 117.95897, 18.206, 392665.964, 798515.498, 157.61
114, 833.51, 17.958, 459.51665, 118.81568, 17.94, 392575.264, 804245.474, 157.502
115, 833.296, 17.938, 458.02208, 119.13084, 17.888, 392477.916, 809938.418, 157.766
116, 833.432, 17.768, 459.08375, 119.66998, 17.808, 392329.318, 815613.074, 157.59
117, 833.622, 17.898, 459.10158, 120.24425, 17.942, 392211.366, 821304.174, 157.356
118, 834.16, 18.04, 458.98004, 120.7285, 17.878, 392148.07, 826984.666, 156.98
119, 834.354, 17.912, 461.1992, 121.37526, 17.878, 392106.208, 832614.59, 156.82
120, 834.068, 17.768, 461.05358, 121.73328, 17.854, 392032.058, 838198.516, 157.02
121, 833.87, 17.874, 461.67618, 122.34489, 17.774, 392027.512, 843751.768, 157.318
122, 833.874, 17.668, 459.70115, 122.92662, 17.996, 391792.788, 849407.758, 156.986
123, 834.232, 17.948, 459.10408, 123.47476, 17.752, 391765.61, 854947.166, 156.824
124, 834.046, 17.952, 461.84269, 123.93053, 17.97, 391725.15, 860547.6, 156.992
125, 833.896, 17.88, 461.24161, 124.55863, 17.976, 391670.484, 866104.38, 157.046
126, 833.826, 18.06, 462.62458, 125.18875, 17.912, 391720.812, 871641.502, 157.264
127, 834.174, 17.956, 460.57028, 125.66034, 17.578, 391807.396, 877045.008, 157.294
128, 834.142, 17.602, 457.73208, 126.28385, 18.106, 391450.828, 882699.804, 156.822
129, 834.042, 18.242, 463.27157, 126.69613, 18.26, 391424.168, 888377.832, 156.904
130, 833.828, 17.982, 458.84774, 127.29936, 17.86, 391383.148, 893870.436, 157.24
131, 833.71, 18.082, 462.22763, 127.77531, 18.15, 391322.368, 899472.67, 157.29
132, 833.544, 18.146, 459.60542, 128.36451, 18.112, 391267.27, 905034.168, 157.49
133, 833.574, 17.898, 462.90088, 128.82342, 18.098, 391202.408, 910544.302, 157.26
134, 833.644, 17.978, 463.01035, 129.19666, 17.848, 391205.368, 916005.064, 157.32
135, 833.9, 17.808, 462.37646, 129.7984, 17.564, 391255.596, 921312.03, 157.308
136, 833.97, 17.926, 460.00223, 130.32792, 17.926, 391220.894, 926711.786, 157.238
137, 834.022, 17.974, 460.77668, 131.03876, 17.984, 391147.532, 932181.2, 157.176
138, 833.266, 17.838, 459.30037, 131.53472, 18.162, 390933.02, 937704.828, 157.608
139, 833.798, 17.928, 461.2896, 132.00206, 17.706, 390987.792, 943001.45, 157.298
140, 833.938, 17.442, 460.55498, 132.79659, 17.712, 390800.442, 948305.416, 156.888
141, 833.894, 18.21, 459.96705, 133.08787, 18.076, 390817.096, 953724.242, 157.066
142, 834.188, 17.84, 461.7713, 133.66667, 17.768, 390809.824, 959025.844, 156.844
143, 834.034, 17.84, 463.2287, 134.00012, 18.214, 390658.496, 964490.802, 156.624
144, 834.072, 18.202, 462.36677, 134.77376, 17.93, 390767.952, 969812.222, 156.858
145, 833.77, 18.2, 462.52747, 135.43775, 18.218, 390776.498, 975232.708, 157.142
146, 833.736, 18.046, 460.54527, 135.82601, 17.996, 390742.536, 980585.306, 157.226
147, 833.336, 18.16, 460.18722, 136.13103, 18.282, 390664.878, 986024.184, 157.504
148, 833.362, 18.09, 462.68657, 136.76918, 17.756, 390783.59, 991248.716, 157.812
149, 833.31, 17.796, 462.68824, 137.32256, 18.002, 390695.632, 996546.09, 157.658
150, 832.442, 18.106, 459.90279, 137.88639, 18.258, 390597.768, 1001940.696, 158.374
151, 832.684, 18.266, 459.0496, 138.52236, 17.932, 390687.748, 1007176.25, 158.466
152, 832.544, 17.75, 461.29577, 138.5331, 17.872, 390628.998, 1012367.084, 158.484
153, 832.766, 17.812, 459.91466, 139.44788, 17.78, 390622.634, 1017485.926, 158.294
154, 833.196, 17.954, 462.06973, 139.94118, 17.842, 390626.996, 1022690.946, 157.976
155, 833.368, 17.98, 461.45717, 140.55936, 18.072, 390575.862, 1027949.448, 157.712
156, 833.35, 18.028, 458.95274, 140.85303, 18.248, 390408.014, 1033294.706, 157.51
157, 833.46, 18.062, 460.69095, 141.43805, 17.99, 390399.706, 1038508.036, 157.472
158, 833.656, 17.76, 461.5991, 141.99061, 17.79, 390330.906, 1043649.42, 157.246
159, 833.428, 18.238, 463.15385, 142.217, 17.976, 390423.774, 1048862.77, 157.736
160, 833.75, 17.62, 463.39387, 142.85818, 17.698, 390383.76, 1053917.782, 157.336
161, 834.1, 17.908, 461.80478, 143.45719, 18.0, 390308.764, 1059105.642, 156.894
162, 833.96, 17.74, 460.14656, 143.80902, 17.904, 390222.204, 1064185.236, 156.87
163, 833.75, 18.096, 458.83068, 144.44502, 17.954, 390199.578, 1069323.556, 157.222
164, 833.95, 18.05, 461.93906, 144.77105, 18.022, 390202.354, 1074463.768, 157.05
165, 833.804, 17.998, 463.66263, 145.59293, 17.912, 390230.812, 1079568.052, 157.282
166, 833.51, 17.898, 460.21902, 146.05876, 18.16, 390087.68, 1084742.61, 157.314
167, 833.71, 18.158, 457.75967, 146.48641, 17.852, 390113.854, 1089793.192, 157.42
168, 833.774, 17.766, 458.23483, 147.15182, 17.85, 390031.548, 1094781.47, 157.272
169, 833.688, 18.114, 460.91421, 147.31956, 18.276, 389984.258, 1099925.892, 157.196
170, 833.246, 18.282, 460.83579, 147.87228, 18.144, 390025.8, 1105041.846, 157.776
171, 833.102, 18.13, 462.27248, 148.59695, 17.99, 390089.76, 1110076.812, 158.06
172, 832.932, 17.846, 459.31861, 149.12358, 18.176, 389920.942, 1115168.436, 157.9
