time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 1.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 1000.0, 999.0, 486.84585, 22.49283, 0.0, 430834.346, 0.0, 0.0
2, 1000.0, 0.0, 0.0, 0.0, 0.0, 426010.744, 0.0, 0.0
3, 1000.0, 0.0, 0.0, 0.0, 0.0, 425937.808, 0.0, 0.0
4, 1000.0, 0.0, 0.0, 0.0, 0.0, 425844.912, 0.0, 0.0
5, 1000.0, 0.0, 0.0, 0.0, 0.0, 425730.432, 0.0, 0.0
6, 1000.0, 0.0, 0.0, 0.0, 0.0, 425594.812, 0.0, 0.0
7, 1000.0, 0.0, 0.0, 0.0, 0.0, 425441.256, 0.0, 0.0
8, 1000.0, 0.0, 0.0, 0.0, 0.0, 425267.846, 0.0, 0.0
9, 1000.0, 0.0, 0.0, 0.0, 0.0, 425076.024, 0.0, 0.0
10, 1000.0, 0.0, 0.0, 0.0, 0.0, 424866.588, 0.0, 0.0
11, 1000.0, 0.0, 0.0, 0.0, 0.0, 423920.69, 0.0, 0.0
12, 1000.0, 0.0, 0.0, 0.0, 0.0, 422932.586, 0.0, 0.0
13, 1000.0, 0.0, 0.0, 0.0, 0.0, 421960.79, 0.0, 0.0
14, 1000.0, 0.0, 0.0, 0.0, 0.0, 421001.532, 0.0, 0.0
15, 1000.0, 0.0, 0.0, 0.0, 0.0, 420056.56, 0.0, 0.0
16, 1000.0, 0.0, 0.0, 0.0, 0.0, 419120.39, 0.0, 0.0
17, 1000.0, 0.0, 0.0, 0.0, 0.0, 418199.546, 0.0, 0.0
18, 1000.0, 0.0, 0.0, 0.0, 0.0, 417287.62, 0.0, 0.0
19, 1000.0, 0.0, 0.0, 0.0, 0.0, 416386.494, 0.0, 0.0
20, 1000.0, 0.0, 0.0, 0.0, 0.0, 415496.044, 0.0, 0.0
21, 1000.0, 0.0, 0.0, 0.0, 0.0, 414605.372, 0.0, 0.0
22, 1000.0, 0.0, 0.0, 0.0, 0.0, 413714.978, 0.0, 0.0
23, 1000.0, 0.0, 0.0, 0.0, 0.0, 412828.144, 0.0, 0.0
24, 1000.0, 0.0, 0.0, 0.0, 0.0, 411940.248, 0.0, 0.0
25, 1000.0, 0.0, 0.0, 0.0, 0.0, 411055.044, 0.0, 0.0
26, 1000.0, 0.0, 0.0, 0.0, 0.0, 410169.486, 0.0, 0.0
27, 1000.0, 0.0, 0.0, 0.0, 0.0, 409286.854, 0.0, 0.0
28, 1000.0, 0.0, 0.0, 0.0, 0.0, 408406.62, 0.0, 0.0
29, 1000.0, 0.0, 0.0, 0.0, 0.0, 407526.554, 0.0, 0.0
30, 1000.0, 0.0, 0.0, 0.0, 0.0, 406650.306, 0.0, 0.0
31, 1000.0, 0.0, 0.0, 0.0, 0.0, 405775.07, 0.0, 0.0
32, 1000.0, 0.0, 0.0, 0.0, 0.0, 404900.012, 0.0, 0.0
33, 1000.0, 0.0, 0.0, 0.0, 0.0, 404028.62, 0.0, 0.0
34, 1000.0, 0.0, 0.0, 0.0, 0.0, 403160.706, 0.0, 0.0
35, 1000.0, 0.0, 0.0, 0.0, 0.0, 402294.096, 0.0, 0.0
36, 1000.0, 0.0, 0.0, 0.0, 0.0, 401429.374, 0.0, 0.0
37, 1000.0, 0.0, 0.0, 0.0, 0.0, 400567.47, 0.0, 0.0
38, 1000.0, 0.0, 0.0, 0.0, 0.0, 399703.908, 0.0, 0.0
39, 1000.0, 0.0, 0.0, 0.0, 0.0, 398844.5, 0.0, 0.0
40, 1000.0, 0.0, 0.0, 0.0, 0.0, 397988.194, 0.0, 0.0
41, 1000.0, 0.0, 0.0, 0.0, 0.0, 397131.174, 0.0, 0.0
42, 1000.0, 0.0, 0.0, 0.0, 0.0, 396278.518, 0.0, 0.0
43, 1000.0, 0.0, 0.0, 0.0, 0.0, 395426.068, 0.0, 0.0
44, 1000.0, 0.0, 0.0, 0.0, 0.0, 394574.88, 0.0, 0.0
45, 1000.0, 0.0, 0.0, 0.0, 0.0, 393725.528, 0.0, 0.0
46, 1000.0, 0.0, 0.0, 0.0, 0.0, 392878.466, 0.0, 0.0
47, 1000.0, 0.0, 0.0, 0.0, 0.0, 392037.238, 0.0, 0.0
48, 1000.0, 0.0, 0.0, 0.0, 0.0, 391196.112, 0.0, 0.0
49, 1000.0, 0.0, 0.0, 0.0, 0.0, 390357.124, 0.0, 0.0
50, 1000.0, 0.0, 0.0, 0.0, 0.0, 389516.62, 0.0, 0.0
51, 1000.0, 0.0, 0.0, 0.0, 0.0, 388676.254, 0.0, 0.0
