time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 99.0, 612.19192, 2.64674, 0.0, 56147.62, 0.0, 99.0
2, 0.0, 3.45, 498.26087, 5.38918, 5.898, 53773.72, 3556.346, 97.552
3, 0.0, 3.7169, 496.71233, 5.52841, 2.68433, 54246.842, 4876.538, 98.77
4, 0.0, 2.58974, 494.22442, 5.70451, 2.65368, 54079.13, 6230.78, 98.742
5, 0.0, 2.71674, 495.26066, 5.77033, 2.6477, 54017.312, 7531.33, 98.854
6, 0.0, 2.58531, 495.82289, 5.92081, 2.65563, 53856.552, 8861.762, 98.842
7, 0.0, 2.54684, 498.71685, 6.01029, 2.69197, 53712.326, 10150.828, 98.698
8, 0.0, 2.76445, 494.57785, 6.23023, 2.72113, 53622.596, 11492.328, 98.782
9, 0.0, 2.68777, 496.75061, 6.28209, 2.77342, 53453.004, 12857.406, 98.698
10, 0.0, 2.75108, 497.24626, 6.40902, 2.67167, 53379.982, 14162.502, 98.75
11, 77.176, 1.87129, 494.04762, 6.56225, 1.34404, 53715.078, 14419.406, 22.5
12, 77.392, 2.16129, 496.26866, 6.59398, 3.11618, 52914.742, 15999.028, 21.156
13, 78.974, 2.53105, 497.88494, 6.6678, 2.14184, 52982.84, 16946.878, 20.126
14, 79.568, 2.18075, 498.92357, 6.78964, 2.20755, 52796.886, 17900.694, 19.518
15, 80.228, 2.17464, 500.55006, 6.83077, 2.16229, 52584.218, 18864.632, 18.864
16, 80.708, 2.16627, 500.0, 6.92544, 2.17606, 52444.55, 19756.094, 18.354
17, 81.106, 2.17381, 494.52355, 6.91584, 2.15023, 52218.33, 20726.628, 17.95
18, 81.664, 2.22222, 495.3125, 6.97161, 2.24824, 52096.414, 21639.322, 17.392
19, 82.182, 2.19765, 499.46467, 6.95498, 2.17577, 51957.144, 22552.338, 16.91
20, 82.77, 2.19294, 496.24464, 7.19351, 2.19332, 51850.52, 23424.604, 16.348
21, 82.54, 2.02594, 497.67171, 7.06433, 2.15496, 51683.196, 24285.68, 16.516
22, 82.642, 2.17233, 500.55866, 7.40625, 2.12048, 51586.736, 25114.464, 16.444
23, 83.138, 2.16667, 499.44259, 7.39509, 2.11483, 51456.238, 25975.304, 15.974
24, 83.178, 2.10142, 498.3165, 7.2759, 2.16268, 51319.714, 26833.628, 15.908
25, 83.228, 2.14048, 495.55061, 7.58137, 2.05714, 51232.03, 27641.644, 15.928
26, 83.372, 2.0628, 498.24356, 7.69213, 2.05665, 51029.212, 28524.88, 15.822
27, 83.406, 2.05651, 500.0, 7.56153, 2.08873, 50836.228, 29384.28, 15.72
28, 83.49, 2.12529, 498.9083, 7.74289, 2.15116, 50711.076, 30250.398, 15.618
29, 83.49, 2.1028, 502.77778, 7.82873, 2.12981, 50595.966, 31096.352, 15.646
30, 83.54, 2.16829, 494.93813, 7.87045, 2.12383, 50475.684, 31918.852, 15.556
31, 83.476, 2.21205, 497.82135, 8.05142, 2.11456, 50359.906, 32769.51, 15.684
32, 83.512, 2.05896, 499.42726, 7.97592, 2.07852, 50217.008, 33604.604, 15.594
33, 83.486, 2.13318, 498.90471, 8.04281, 2.13777, 50083.728, 34467.56, 15.646
34, 83.394, 2.05787, 500.56243, 8.14719, 2.17647, 49917.402, 35342.892, 15.592
35, 83.338, 2.24769, 498.97013, 8.24458, 2.13793, 49814.85, 36231.136, 15.73
36, 83.344, 2.11807, 503.9818, 8.18623, 2.0622, 49740.898, 37006.354, 15.758
37, 83.084, 2.14754, 502.72628, 8.45228, 2.23963, 49570.16, 37912.618, 15.908
38, 83.196, 2.17606, 499.46063, 8.37365, 2.05981, 49529.19, 38690.692, 15.928
39, 83.216, 2.09286, 498.86234, 8.51083, 2.12679, 49440.786, 39464.782, 15.888
40, 83.29, 2.08057, 498.29157, 8.54743, 2.07282, 49356.458, 40231.304, 15.862
41, 83.338, 2.15038, 500.0, 8.669, 2.15496, 49183.026, 41070.07, 15.75
42, 83.248, 2.14754, 495.09269, 8.73018, 2.17401, 49038.526, 41928.692, 15.8
43, 83.316, 2.18735, 498.394, 8.74006, 2.11566, 48992.952, 42708.192, 15.844
44, 83.27, 2.13625, 494.87472, 8.7664, 2.16905, 48866.18, 43506.448, 15.824
45, 83.478, 2.13547, 499.4233, 9.08199, 2.09639, 48759.526, 44279.44, 15.61
46, 83.414, 2.19104, 502.15285, 8.97856, 2.11833, 48678.59, 45091.504, 15.706
47, 83.402, 2.12676, 500.55188, 8.92613, 2.23515, 48570.442, 45904.116, 15.648
48, 83.578, 2.21154, 503.26087, 9.03996, 2.11386, 48548.61, 46646.62, 15.604
49, 83.556, 2.10864, 501.17096, 9.0035, 2.17184, 48412.004, 47433.954, 15.514
50, 83.524, 2.1119, 501.1274, 9.2081, 2.09176, 48341.32, 48185.648, 15.542
51, 83.474, 2.12591, 496.58314, 9.40252, 2.09785, 48249.298, 48940.848, 15.59
52, 83.5, 2.13909, 501.68161, 9.47039, 2.12376, 48180.64, 49693.714, 15.632
53, 83.566, 2.08413, 500.0, 9.42676, 2.14423, 48091.358, 50439.256, 15.516
54, 83.562, 2.12077, 503.41686, 9.61199, 2.01647, 48039.776, 51160.994, 15.562
55, 83.46, 2.12619, 495.52072, 9.52316, 2.14052, 47958.722, 51913.448, 15.622
56, 83.512, 2.10287, 503.41297, 9.61243, 2.12958, 47910.426, 52630.978, 15.586
57, 83.464, 2.21292, 499.45946, 9.76732, 2.20142, 47830.95, 53416.226, 15.626
58, 83.562, 2.18118, 500.53937, 9.93534, 2.13768, 47815.314, 54139.52, 15.612
59, 83.43, 2.09906, 495.50562, 9.83333, 2.19676, 47669.91, 54947.126, 15.626
60, 83.416, 2.20531, 496.71413, 9.94267, 2.16785, 47585.306, 55717.848, 15.632
61, 83.442, 2.19315, 500.55741, 9.92428, 2.12437, 47599.578, 56377.274, 15.726
62, 83.456, 2.09547, 498.86105, 10.00457, 2.18182, 47493.816, 57134.204, 15.644
63, 83.344, 2.16867, 499.44444, 10.06897, 2.19159, 47410.478, 57889.928, 15.68
64, 83.356, 2.1957, 498.91304, 10.15686, 2.09246, 47415.61, 58574.928, 15.788
65, 83.378, 2.07895, 502.3015, 10.39633, 2.06311, 47381.356, 59251.928, 15.804
66, 83.412, 2.01687, 502.98686, 10.25772, 2.1274, 47236.818, 60009.564, 15.674
67, 83.382, 2.1639, 498.35346, 10.67621, 2.09579, 47156.932, 60765.016, 15.732
68, 83.288, 2.19718, 497.32906, 10.61976, 2.22857, 47077.704, 61540.522, 15.826
69, 83.274, 2.16274, 498.90949, 10.51366, 2.20335, 46989.322, 62309.278, 15.832
70, 83.354, 2.17647, 502.25225, 10.5583, 2.16019, 46945.424, 63008.14, 15.748
71, 83.302, 2.14352, 498.92009, 10.57684, 2.20616, 46891.47, 63748.838, 15.79
72, 83.272, 2.17381, 496.16648, 10.74283, 2.15439, 46811.756, 64495.976, 15.832
73, 83.23, 2.18765, 500.0, 10.7101, 2.12911, 46796.708, 65190.522, 15.902
74, 83.298, 2.08633, 503.44828, 11.01484, 2.16584, 46750.544, 65870.708, 15.824
75, 83.18, 2.12354, 502.19539, 11.04481, 2.13583, 46676.158, 66616.306, 15.94
76, 83.056, 2.07193, 500.55991, 11.02349, 2.1872, 46587.7, 67353.256, 16.004
77, 83.092, 2.19378, 498.36423, 11.25821, 2.14524, 46497.538, 68111.996, 16.0
78, 83.26, 2.17848, 500.0, 10.93603, 2.05399, 46448.088, 68804.05, 15.864
79, 83.37, 2.13768, 501.69492, 11.08784, 2.12593, 46440.42, 69449.958, 15.802
80, 83.322, 2.07444, 499.40191, 11.23114, 2.15952, 46306.806, 70168.698, 15.708
81, 83.332, 2.17249, 498.92704, 11.17634, 2.10238, 46314.02, 70839.918, 15.796
82, 83.358, 2.09005, 497.73243, 11.52847, 2.11779, 46259.13, 71519.73, 15.772
83, 83.408, 2.1561, 502.26244, 11.59459, 2.11085, 46178.722, 72233.282, 15.7
84, 83.33, 2.17233, 502.23464, 11.48276, 2.20093, 46088.062, 72967.184, 15.684
85, 83.38, 2.1831, 501.07527, 11.54614, 2.08495, 46121.79, 73608.334, 15.776
86, 83.386, 2.18473, 505.07328, 11.40737, 2.13333, 46079.314, 74286.64, 15.752
87, 83.47, 2.08314, 501.14025, 11.69511, 2.10952, 46035.684, 74948.87, 15.65
88, 83.478, 2.0801, 497.66628, 11.94842, 2.15904, 45964.67, 75611.31, 15.564
89, 83.45, 2.21308, 502.73523, 11.68009, 2.15403, 45956.534, 76274.842, 15.658
90, 83.394, 2.09809, 498.85975, 11.84114, 2.1477, 45893.92, 76949.14, 15.694
91, 83.51, 2.11922, 502.87026, 11.94178, 2.12531, 45896.244, 77556.532, 15.624
92, 83.528, 2.15725, 500.56948, 11.97611, 2.22388, 45852.574, 78211.264, 15.574
93, 83.468, 2.09501, 504.53515, 12.06629, 2.07889, 45813.262, 78872.492, 15.606
94, 83.448, 2.16785, 499.45474, 12.12555, 2.16706, 45799.872, 79531.834, 15.644
95, 83.432, 2.17577, 501.0917, 12.04466, 2.19858, 45763.452, 80215.202, 15.632
96, 83.438, 2.09346, 499.44196, 12.26704, 2.18599, 45697.286, 80903.98, 15.608
97, 83.336, 2.23934, 502.6455, 12.33579, 2.21114, 45673.746, 81603.214, 15.694
98, 83.284, 2.20561, 499.47034, 12.3807, 2.1715, 45665.996, 82278.53, 15.836
99, 83.258, 2.15238, 502.21239, 12.18612, 2.11954, 45635.018, 82940.88, 15.826
100, 83.268, 2.09716, 498.87006, 12.49717, 2.13302, 45601.27, 83579.382, 15.79
101, 83.304, 2.1472, 497.27965, 12.68381, 2.11298, 45589.69, 84224.744, 15.834
102, 83.312, 2.12888, 503.92377, 12.68409, 2.17464, 45550.706, 84882.516, 15.792
103, 83.182, 2.1599, 503.31492, 12.65203, 2.15068, 45491.764, 85570.928, 15.848
104, 83.196, 2.22871, 503.27511, 12.93492, 2.15196, 45488.224, 86212.08, 15.91
105, 83.19, 2.23666, 501.03734, 12.64079, 2.21739, 45493.0, 86889.644, 16.008
106, 83.114, 2.06634, 497.62188, 12.79809, 2.14558, 45399.616, 87535.144, 15.968
107, 83.22, 2.17961, 504.45434, 12.9117, 2.16748, 45389.75, 88163.736, 15.872
108, 83.24, 2.18886, 502.21239, 13.10573, 2.16827, 45372.062, 88800.426, 15.856
109, 83.272, 2.18564, 500.0, 13.26274, 2.17391, 45321.622, 89442.896, 15.79
110, 83.178, 2.14747, 503.75536, 13.16826, 2.15313, 45307.34, 90105.38, 15.892
111, 83.106, 2.20882, 502.10084, 13.25105, 2.27442, 45266.734, 90809.662, 15.912
112, 83.03, 2.26667, 503.67647, 13.13347, 2.18246, 45287.77, 91451.6, 16.05
113, 82.968, 2.13817, 501.64294, 13.33734, 2.16667, 45247.76, 92111.338, 16.066
114, 83.07, 2.16284, 499.46978, 13.3259, 2.06651, 45293.02, 92710.272, 16.11
115, 83.192, 2.07399, 504.02762, 13.27626, 2.1119, 45260.158, 93320.592, 15.952
116, 83.154, 2.09179, 495.38106, 13.52681, 2.07637, 45233.666, 93906.158, 15.982
117, 83.158, 2.09927, 504.03691, 13.56407, 2.12919, 45198.746, 94514.674, 15.932
118, 83.154, 2.07621, 501.66852, 13.67849, 2.17506, 45172.82, 95140.004, 15.92
119, 83.138, 2.20723, 502.18341, 13.57609, 2.16708, 45179.088, 95749.42, 16.004
