time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 1.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 100.0, 99.0, 564.14141, 2.89486, 0.0, 55523.346, 0.0, 0.0
2, 100.0, 0.0, 0.0, 0.0, 0.0, 54979.178, 0.0, 0.0
3, 100.0, 0.0, 0.0, 0.0, 0.0, 54969.86, 0.0, 0.0
4, 100.0, 0.0, 0.0, 0.0, 0.0, 54957.88, 0.0, 0.0
5, 100.0, 0.0, 0.0, 0.0, 0.0, 54943.366, 0.0, 0.0
6, 100.0, 0.0, 0.0, 0.0, 0.0, 54925.874, 0.0, 0.0
7, 100.0, 0.0, 0.0, 0.0, 0.0, 54905.986, 0.0, 0.0
8, 100.0, 0.0, 0.0, 0.0, 0.0, 54883.35, 0.0, 0.0
9, 100.0, 0.0, 0.0, 0.0, 0.0, 54858.676, 0.0, 0.0
10, 100.0, 0.0, 0.0, 0.0, 0.0, 54831.704, 0.0, 0.0
11, 100.0, 0.0, 0.0, 0.0, 0.0, 54709.27, 0.0, 0.0
12, 100.0, 0.0, 0.0, 0.0, 0.0, 54582.07, 0.0, 0.0
13, 100.0, 0.0, 0.0, 0.0, 0.0, 54456.166, 0.0, 0.0
14, 100.0, 0.0, 0.0, 0.0, 0.0, 54331.764, 0.0, 0.0
15, 100.0, 0.0, 0.0, 0.0, 0.0, 54209.892, 0.0, 0.0
16, 100.0, 0.0, 0.0, 0.0, 0.0, 54088.778, 0.0, 0.0
17, 100.0, 0.0, 0.0, 0.0, 0.0, 53969.518, 0.0, 0.0
18, 100.0, 0.0, 0.0, 0.0, 0.0, 53851.308, 0.0, 0.0
19, 100.0, 0.0, 0.0, 0.0, 0.0, 53734.474, 0.0, 0.0
20, 100.0, 0.0, 0.0, 0.0, 0.0, 53619.702, 0.0, 0.0
21, 100.0, 0.0, 0.0, 0.0, 0.0, 53504.416, 0.0, 0.0
22, 100.0, 0.0, 0.0, 0.0, 0.0, 53390.322, 0.0, 0.0
23, 100.0, 0.0, 0.0, 0.0, 0.0, 53275.586, 0.0, 0.0
24, 100.0, 0.0, 0.0, 0.0, 0.0, 53161.16, 0.0, 0.0
25, 100.0, 0.0, 0.0, 0.0, 0.0, 53046.88, 0.0, 0.0
26, 100.0, 0.0, 0.0, 0.0, 0.0, 52932.128, 0.0, 0.0
27, 100.0, 0.0, 0.0, 0.0, 0.0, 52817.966, 0.0, 0.0
28, 100.0, 0.0, 0.0, 0.0, 0.0, 52704.998, 0.0, 0.0
29, 100.0, 0.0, 0.0, 0.0, 0.0, 52591.23, 0.0, 0.0
30, 100.0, 0.0, 0.0, 0.0, 0.0, 52477.706, 0.0, 0.0
31, 100.0, 0.0, 0.0, 0.0, 0.0, 52365.264, 0.0, 0.0
32, 100.0, 0.0, 0.0, 0.0, 0.0, 52251.972, 0.0, 0.0
33, 100.0, 0.0, 0.0, 0.0, 0.0, 52139.148, 0.0, 0.0
34, 100.0, 0.0, 0.0, 0.0, 0.0, 52025.882, 0.0, 0.0
35, 100.0, 0.0, 0.0, 0.0, 0.0, 51913.886, 0.0, 0.0
36, 100.0, 0.0, 0.0, 0.0, 0.0, 51802.924, 0.0, 0.0
37, 100.0, 0.0, 0.0, 0.0, 0.0, 51691.428, 0.0, 0.0
38, 100.0, 0.0, 0.0, 0.0, 0.0, 51580.136, 0.0, 0.0
39, 100.0, 0.0, 0.0, 0.0, 0.0, 51469.054, 0.0, 0.0
40, 100.0, 0.0, 0.0, 0.0, 0.0, 51357.098, 0.0, 0.0
41, 100.0, 0.0, 0.0, 0.0, 0.0, 51246.668, 0.0, 0.0
42, 100.0, 0.0, 0.0, 0.0, 0.0, 51136.87, 0.0, 0.0
43, 100.0, 0.0, 0.0, 0.0, 0.0, 51027.072, 0.0, 0.0
44, 100.0, 0.0, 0.0, 0.0, 0.0, 50918.032, 0.0, 0.0
45, 100.0, 0.0, 0.0, 0.0, 0.0, 50808.446, 0.0, 0.0
46, 100.0, 0.0, 0.0, 0.0, 0.0, 50699.166, 0.0, 0.0
47, 100.0, 0.0, 0.0, 0.0, 0.0, 50589.718, 0.0, 0.0
48, 100.0, 0.0, 0.0, 0.0, 0.0, 50480.702, 0.0, 0.0
49, 100.0, 0.0, 0.0, 0.0, 0.0, 50371.748, 0.0, 0.0
50, 100.0, 0.0, 0.0, 0.0, 0.0, 50263.542, 0.0, 0.0
51, 100.0, 0.0, 0.0, 0.0, 0.0, 50154.786, 0.0, 0.0
52, 100.0, 0.0, 0.0, 0.0, 0.0, 50046.268, 0.0, 0.0
53, 100.0, 0.0, 0.0, 0.0, 0.0, 49937.852, 0.0, 0.0
54, 100.0, 0.0, 0.0, 0.0, 0.0, 49830.912, 0.0, 0.0
55, 100.0, 0.0, 0.0, 0.0, 0.0, 49724.104, 0.0, 0.0
56, 100.0, 0.0, 0.0, 0.0, 0.0, 49617.204, 0.0, 0.0
57, 100.0, 0.0, 0.0, 0.0, 0.0, 49509.882, 0.0, 0.0
58, 100.0, 0.0, 0.0, 0.0, 0.0, 49403.254, 0.0, 0.0
59, 100.0, 0.0, 0.0, 0.0, 0.0, 49297.262, 0.0, 0.0
60, 100.0, 0.0, 0.0, 0.0, 0.0, 49191.952, 0.0, 0.0
61, 100.0, 0.0, 0.0, 0.0, 0.0, 49086.828, 0.0, 0.0
62, 100.0, 0.0, 0.0, 0.0, 0.0, 48981.318, 0.0, 0.0
63, 100.0, 0.0, 0.0, 0.0, 0.0, 48876.244, 0.0, 0.0
64, 100.0, 0.0, 0.0, 0.0, 0.0, 48770.014, 0.0, 0.0
65, 100.0, 0.0, 0.0, 0.0, 0.0, 48665.16, 0.0, 0.0
66, 100.0, 0.0, 0.0, 0.0, 0.0, 48560.046, 0.0, 0.0
67, 100.0, 0.0, 0.0, 0.0, 0.0, 48455.01, 0.0, 0.0
68, 100.0, 0.0, 0.0, 0.0, 0.0, 48350.702, 0.0, 0.0
69, 100.0, 0.0, 0.0, 0.0, 0.0, 48246.004, 0.0, 0.0
70, 100.0, 0.0, 0.0, 0.0, 0.0, 48142.258, 0.0, 0.0
71, 100.0, 0.0, 0.0, 0.0, 0.0, 48038.13, 0.0, 0.0
72, 100.0, 0.0, 0.0, 0.0, 0.0, 47934.572, 0.0, 0.0
73, 100.0, 0.0, 0.0, 0.0, 0.0, 47830.714, 0.0, 0.0
74, 100.0, 0.0, 0.0, 0.0, 0.0, 47727.32, 0.0, 0.0
75, 100.0, 0.0, 0.0, 0.0, 0.0, 47624.392, 0.0, 0.0
76, 100.0, 0.0, 0.0, 0.0, 0.0, 47522.52, 0.0, 0.0
77, 100.0, 0.0, 0.0, 0.0, 0.0, 47420.2, 0.0, 0.0
78, 100.0, 0.0, 0.0, 0.0, 0.0, 47318.09, 0.0, 0.0
79, 100.0, 0.0, 0.0, 0.0, 0.0, 47215.332, 0.0, 0.0
80, 100.0, 0.0, 0.0, 0.0, 0.0, 47113.64, 0.0, 0.0
81, 100.0, 0.0, 0.0, 0.0, 0.0, 47012.634, 0.0, 0.0
82, 100.0, 0.0, 0.0, 0.0, 0.0, 46911.546, 0.0, 0.0
83, 100.0, 0.0, 0.0, 0.0, 0.0, 46810.998, 0.0, 0.0
84, 100.0, 0.0, 0.0, 0.0, 0.0, 46709.544, 0.0, 0.0
85, 100.0, 0.0, 0.0, 0.0, 0.0, 46607.854, 0.0, 0.0
86, 100.0, 0.0, 0.0, 0.0, 0.0, 46507.658, 0.0, 0.0
87, 100.0, 0.0, 0.0, 0.0, 0.0, 46407.91, 0.0, 0.0
88, 100.0, 0.0, 0.0, 0.0, 0.0, 46308.194, 0.0, 0.0
89, 100.0, 0.0, 0.0, 0.0, 0.0, 46207.614, 0.0, 0.0
90, 100.0, 0.0, 0.0, 0.0, 0.0, 46108.196, 0.0, 0.0
91, 100.0, 0.0, 0.0, 0.0, 0.0, 46009.896, 0.0, 0.0
92, 100.0, 0.0, 0.0, 0.0, 0.0, 45911.544, 0.0, 0.0
93, 100.0, 0.0, 0.0, 0.0, 0.0, 45813.416, 0.0, 0.0
94, 100.0, 0.0, 0.0, 0.0, 0.0, 45715.204, 0.0, 0.0
95, 100.0, 0.0, 0.0, 0.0, 0.0, 45616.846, 0.0, 0.0
96, 100.0, 0.0, 0.0, 0.0, 0.0, 45519.036, 0.0, 0.0
97, 100.0, 0.0, 0.0, 0.0, 0.0, 45421.388, 0.0, 0.0
98, 100.0, 0.0, 0.0, 0.0, 0.0, 45323.556, 0.0, 0.0
99, 100.0, 0.0, 0.0, 0.0, 0.0, 45226.944, 0.0, 0.0
100, 100.0, 0.0, 0.0, 0.0, 0.0, 45130.236, 0.0, 0.0
101, 100.0, 0.0, 0.0, 0.0, 0.0, 45032.966, 0.0, 0.0
102, 100.0, 0.0, 0.0, 0.0, 0.0, 44935.73, 0.0, 0.0
103, 100.0, 0.0, 0.0, 0.0, 0.0, 44838.912, 0.0, 0.0
104, 100.0, 0.0, 0.0, 0.0, 0.0, 44741.51, 0.0, 0.0
105, 100.0, 0.0, 0.0, 0.0, 0.0, 44644.908, 0.0, 0.0
106, 100.0, 0.0, 0.0, 0.0, 0.0, 44549.574, 0.0, 0.0
107, 100.0, 0.0, 0.0, 0.0, 0.0, 44454.412, 0.0, 0.0
108, 100.0, 0.0, 0.0, 0.0, 0.0, 44359.016, 0.0, 0.0
109, 100.0, 0.0, 0.0, 0.0, 0.0, 44263.26, 0.0, 0.0
110, 100.0, 0.0, 0.0, 0.0, 0.0, 44168.21, 0.0, 0.0
111, 100.0, 0.0, 0.0, 0.0, 0.0, 44073.44, 0.0, 0.0
112, 100.0, 0.0, 0.0, 0.0, 0.0, 43978.996, 0.0, 0.0
113, 100.0, 0.0, 0.0, 0.0, 0.0, 43884.692, 0.0, 0.0
114, 100.0, 0.0, 0.0, 0.0, 0.0, 43789.842, 0.0, 0.0
115, 100.0, 0.0, 0.0, 0.0, 0.0, 43695.086, 0.0, 0.0
116, 100.0, 0.0, 0.0, 0.0, 0.0, 43600.876, 0.0, 0.0
117, 100.0, 0.0, 0.0, 0.0, 0.0, 43507.332, 0.0, 0.0
118, 100.0, 0.0, 0.0, 0.0, 0.0, 43413.62, 0.0, 0.0
119, 100.0, 0.0, 0.0, 0.0, 0.0, 43319.784, 0.0, 0.0
120, 100.0, 0.0, 0.0, 0.0, 0.0, 43226.754, 0.0, 0.0
121, 100.0, 0.0, 0.0, 0.0, 0.0, 43133.446, 0.0, 0.0
122, 100.0, 0.0, 0.0, 0.0, 0.0, 43040.052, 0.0, 0.0
123, 100.0, 0.0, 0.0, 0.0, 0.0, 42947.364, 0.0, 0.0
124, 100.0, 0.0, 0.0, 0.0, 0.0, 42855.386, 0.0, 0.0
125, 100.0, 0.0, 0.0, 0.0, 0.0, 42763.402, 0.0, 0.0
126, 100.0, 0.0, 0.0, 0.0, 0.0, 42671.386, 0.0, 0.0
127, 100.0, 0.0, 0.0, 0.0, 0.0, 42578.968, 0.0, 0.0
128, 100.0, 0.0, 0.0, 0.0, 0.0, 42487.628, 0.0, 0.0
129, 100.0, 0.0, 0.0, 0.0, 0.0, 42396.718, 0.0, 0.0
130, 100.0, 0.0, 0.0, 0.0, 0.0, 42304.658, 0.0, 0.0
131, 100.0, 0.0, 0.0, 0.0, 0.0, 42213.556, 0.0, 0.0
132, 100.0, 0.0, 0.0, 0.0, 0.0, 42122.952, 0.0, 0.0
133, 100.0, 0.0, 0.0, 0.0, 0.0, 42032.374, 0.0, 0.0
134, 100.0, 0.0, 0.0, 0.0, 0.0, 41942.732, 0.0, 0.0
135, 100.0, 0.0, 0.0, 0.0, 0.0, 41852.88, 0.0, 0.0
136, 100.0, 0.0, 0.0, 0.0, 0.0, 41763.444, 0.0, 0.0
137, 100.0, 0.0, 0.0, 0.0, 0.0, 41673.832, 0.0, 0.0
138, 100.0, 0.0, 0.0, 0.0, 0.0, 41584.27, 0.0, 0.0
139, 100.0, 0.0, 0.0, 0.0, 0.0, 41494.926, 0.0, 0.0
140, 100.0, 0.0, 0.0, 0.0, 0.0, 41405.47, 0.0, 0.0
141, 100.0, 0.0, 0.0, 0.0, 0.0, 41315.99, 0.0, 0.0
142, 100.0, 0.0, 0.0, 0.0, 0.0, 41227.368, 0.0, 0.0
143, 100.0, 0.0, 0.0, 0.0, 0.0, 41138.628, 0.0, 0.0
144, 100.0, 0.0, 0.0, 0.0, 0.0, 41049.574, 0.0, 0.0
145, 100.0, 0.0, 0.0, 0.0, 0.0, 40961.72, 0.0, 0.0
146, 100.0, 0.0, 0.0, 0.0, 0.0, 40873.648, 0.0, 0.0
147, 100.0, 0.0, 0.0, 0.0, 0.0, 40785.25, 0.0, 0.0
148, 100.0, 0.0, 0.0, 0.0, 0.0, 40697.252, 0.0, 0.0
149, 100.0, 0.0, 0.0, 0.0, 0.0, 40609.012, 0.0, 0.0
150, 100.0, 0.0, 0.0, 0.0, 0.0, 40522.202, 0.0, 0.0
151, 100.0, 0.0, 0.0, 0.0, 0.0, 40434.826, 0.0, 0.0
152, 100.0, 0.0, 0.0, 0.0, 0.0, 40348.194, 0.0, 0.0
153, 100.0, 0.0, 0.0, 0.0, 0.0, 40261.89, 0.0, 0.0
154, 100.0, 0.0, 0.0, 0.0, 0.0, 40175.164, 0.0, 0.0
155, 100.0, 0.0, 0.0, 0.0, 0.0, 40088.342, 0.0, 0.0
156, 100.0, 0.0, 0.0, 0.0, 0.0, 40002.258, 0.0, 0.0
157, 100.0, 0.0, 0.0, 0.0, 0.0, 39916.18, 0.0, 0.0
158, 100.0, 0.0, 0.0, 0.0, 0.0, 39830.118, 0.0, 0.0
159, 100.0, 0.0, 0.0, 0.0, 0.0, 39744.95, 0.0, 0.0
160, 100.0, 0.0, 0.0, 0.0, 0.0, 39659.474, 0.0, 0.0
161, 100.0, 0.0, 0.0, 0.0, 0.0, 39573.734, 0.0, 0.0
162, 100.0, 0.0, 0.0, 0.0, 0.0, 39488.28, 0.0, 0.0
163, 100.0, 0.0, 0.0, 0.0, 0.0, 39403.904, 0.0, 0.0
164, 100.0, 0.0, 0.0, 0.0, 0.0, 39319.118, 0.0, 0.0
165, 100.0, 0.0, 0.0, 0.0, 0.0, 39233.71, 0.0, 0.0
166, 100.0, 0.0, 0.0, 0.0, 0.0, 39149.088, 0.0, 0.0
167, 100.0, 0.0, 0.0, 0.0, 0.0, 39064.842, 0.0, 0.0
168, 100.0, 0.0, 0.0, 0.0, 0.0, 38980.794, 0.0, 0.0
169, 100.0, 0.0, 0.0, 0.0, 0.0, 38897.136, 0.0, 0.0
170, 100.0, 0.0, 0.0, 0.0, 0.0, 38813.4, 0.0, 0.0
171, 100.0, 0.0, 0.0, 0.0, 0.0, 38729.702, 0.0, 0.0
172, 100.0, 0.0, 0.0, 0.0, 0.0, 38646.25, 0.0, 0.0
