time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 9.0, 930.0, 0.68973, 0.0, 11984.372, 0.0, 9.0
2, 0.0, 1.236, 951.45631, 1.09354, 1.486, 8396.136, 4676.128, 9.75
3, 0.0, 1.21854, 945.65217, 1.19253, 1.10256, 8485.274, 4929.926, 9.86
4, 0.0, 1.14286, 1069.85294, 1.10653, 1.10156, 8535.346, 5167.622, 9.85
5, 0.0, 1.1145, 1006.84932, 1.22789, 1.08333, 8578.556, 5414.514, 9.882
6, 0.0, 1.08654, 1092.92035, 1.11741, 1.09322, 8611.804, 5623.752, 9.85
7, 0.0, 1.09402, 964.84375, 1.36437, 1.06542, 8669.844, 5807.392, 9.878
8, 0.0, 1.09756, 929.62963, 1.31474, 1.17323, 8632.782, 6089.544, 9.85
9, 0.0, 1.14286, 968.75, 1.31855, 1.13333, 8672.398, 6291.204, 9.868
10, 0.0, 1.08182, 983.19328, 1.31197, 1.08411, 8704.538, 6485.664, 9.874
11, 3.16783, 1.10169, 953.84615, 1.31048, 1.10619, 8702.27, 6701.12, 8.978
12, 7.072, 1.10588, 946.80851, 1.33708, 1.05556, 8763.8, 6781.16, 3.20667
13, 7.54, 1.0814, 973.11828, 1.24309, 1.08661, 8675.216, 7014.83, 2.56388
14, 7.668, 1.11429, 914.52991, 1.35047, 1.08247, 8679.106, 7188.792, 2.44934
15, 7.756, 1.11392, 909.09091, 1.33125, 1.08219, 8678.992, 7313.272, 2.39866
16, 7.83, 1.03797, 792.68293, 1.54615, 1.04706, 8658.478, 7427.778, 2.34773
17, 7.88, 1.08434, 900.0, 1.37654, 1.04938, 8653.142, 7559.504, 2.36682
18, 7.976, 1.0875, 896.55172, 1.44872, 1.16176, 8656.87, 7675.874, 2.34458
19, 8.1, 1.09722, 1006.32911, 1.40881, 1.07042, 8666.982, 7788.71, 2.22384
20, 8.12, 1.04706, 932.58427, 1.46386, 1.06383, 8640.358, 7945.978, 2.17805
21, 8.212, 1.05063, 1048.19277, 1.3046, 1.05063, 8644.834, 8079.876, 2.08621
22, 8.246, 1.10843, 923.91304, 1.44118, 1.13333, 8634.402, 8224.342, 2.0
23, 8.276, 1.1, 1035.35354, 1.59024, 1.09589, 8676.672, 8349.964, 1.98077
24, 8.312, 1.16667, 989.01099, 1.47222, 1.11494, 8674.71, 8495.33, 1.96078
25, 8.352, 1.05479, 1084.41558, 1.53293, 1.06667, 8655.694, 8643.908, 1.92804
26, 8.332, 1.0989, 930.0, 1.66667, 1.05952, 8671.676, 8776.4, 1.96552
27, 8.324, 1.04286, 945.20548, 1.71014, 1.06757, 8671.598, 8876.68, 1.96059
28, 8.316, 1.075, 959.30233, 1.50909, 1.1, 8679.756, 8996.304, 1.98015
29, 8.316, 1.0875, 1011.49425, 1.38636, 1.03659, 8683.534, 9130.238, 1.93705
30, 8.296, 1.07778, 891.75258, 1.68786, 1.06742, 8678.688, 9269.71, 1.94258
31, 8.28, 1.09877, 988.76404, 1.63068, 1.06742, 8668.174, 9417.906, 1.95673
32, 8.274, 1.06593, 1067.01031, 1.63768, 1.05747, 8694.858, 9558.798, 2.00488
33, 8.302, 1.06944, 870.12987, 1.65672, 1.01266, 8656.538, 9691.48, 1.98765
34, 8.306, 1.07955, 968.42105, 1.53804, 1.08046, 8638.682, 9853.494, 1.97059
35, 8.256, 1.07955, 926.31579, 1.75568, 1.09783, 8626.512, 10001.488, 2.01222
36, 8.216, 1.03333, 946.23656, 1.76136, 1.12766, 8607.54, 10155.742, 2.01946
37, 8.174, 1.13725, 956.89655, 1.63063, 1.1134, 8609.506, 10335.232, 2.05995
38, 8.184, 1.05814, 1093.40659, 1.71357, 1.05063, 8659.652, 10442.934, 2.09732
39, 8.184, 1.10588, 973.40426, 1.71585, 1.07143, 8669.708, 10574.24, 2.1122
40, 8.248, 1.08571, 960.52632, 1.67808, 1.0, 8704.208, 10644.456, 2.0534
41, 8.248, 1.07692, 1028.57143, 1.67361, 1.05682, 8654.876, 10796.066, 2.01222
42, 8.252, 1.03409, 928.57143, 1.68047, 1.07407, 8669.972, 10907.844, 2.02703
43, 8.246, 1.1, 1000.0, 1.67172, 1.06897, 8686.604, 11046.696, 2.03415
44, 8.268, 1.0875, 896.55172, 1.77564, 1.07792, 8665.894, 11180.596, 2.04703
45, 8.306, 1.05263, 937.5, 1.9, 1.08108, 8636.576, 11317.172, 2.00995
46, 8.3, 1.07059, 1120.87912, 1.77451, 1.11364, 8627.96, 11487.066, 2.00499
47, 8.278, 1.08696, 895.0, 1.87709, 1.09783, 8583.654, 11666.786, 2.02488
48, 8.296, 1.07407, 1028.73563, 1.85475, 1.09302, 8588.878, 11796.55, 1.96069
49, 8.322, 1.11111, 961.11111, 1.91329, 1.09859, 8589.926, 11924.19, 1.95823
50, 8.314, 1.07895, 1146.34146, 1.88298, 1.09877, 8589.632, 12068.12, 1.97512
51, 8.276, 1.04545, 967.3913, 1.94944, 1.06173, 8611.968, 12178.616, 2.02723
52, 8.274, 1.04444, 968.08511, 1.8956, 1.07865, 8602.908, 12324.76, 2.01478
53, 8.272, 1.15789, 909.09091, 1.8375, 1.09302, 8589.6, 12453.118, 1.99754
54, 8.248, 1.09901, 968.46847, 1.88837, 1.09574, 8600.622, 12611.844, 2.02676
55, 8.208, 1.10989, 940.59406, 2.06316, 1.05263, 8597.774, 12758.268, 2.04796
56, 8.222, 1.03488, 977.52809, 1.86782, 1.0625, 8603.91, 12880.14, 2.03589
57, 8.22, 1.11765, 967.10526, 1.93878, 1.09756, 8563.026, 13022.036, 2.01442
58, 8.23, 1.10127, 925.28736, 2.0, 1.09091, 8560.226, 13138.862, 1.99523
59, 8.184, 1.10204, 930.55556, 2.01493, 1.1413, 8560.068, 13293.246, 2.07212
60, 8.156, 1.04494, 881.72043, 2.2622, 1.10989, 8518.666, 13451.38, 2.09662
61, 8.144, 1.08, 912.03704, 2.02538, 1.07955, 8527.482, 13592.004, 2.11695
62, 8.132, 1.07042, 940.78947, 1.99301, 1.08889, 8497.874, 13716.422, 2.10386
63, 8.124, 1.03371, 945.65217, 2.15517, 1.05195, 8513.794, 13826.042, 2.12981
64, 8.134, 1.09, 908.25688, 2.0202, 1.1375, 8540.712, 13948.842, 2.1253
65, 8.176, 1.06098, 931.03448, 2.21605, 1.04598, 8545.072, 14057.596, 2.11111
66, 8.218, 1.09589, 1025.0, 2.10366, 1.06757, 8569.822, 14148.23, 2.08802
67, 8.23, 1.13158, 936.04651, 2.03106, 1.10588, 8547.406, 14282.916, 2.05882
68, 8.26, 1.08974, 964.70588, 1.9939, 1.10667, 8562.22, 14382.646, 2.04198
69, 8.278, 1.05333, 930.37975, 2.14286, 1.06849, 8560.118, 14481.904, 2.03731
70, 8.268, 1.07407, 982.75862, 2.12281, 1.06593, 8536.202, 14627.262, 2.0
71, 8.332, 1.09756, 972.22222, 2.03429, 1.04478, 8576.334, 14712.286, 1.96569
72, 8.32, 1.10938, 971.83099, 2.23913, 1.05263, 8562.294, 14813.978, 1.98756
73, 8.334, 1.08642, 846.59091, 2.30872, 1.1, 8547.058, 14927.648, 1.96526
74, 8.31, 1.09091, 863.09524, 2.26897, 1.10714, 8518.1, 15051.136, 1.98254
75, 8.338, 1.08989, 1000.0, 2.12887, 1.09877, 8544.542, 15168.204, 1.94815
76, 8.338, 1.06173, 918.60465, 2.13291, 1.03614, 8521.344, 15299.132, 1.96269
77, 8.324, 1.05618, 936.17021, 2.11932, 1.10465, 8509.044, 15435.94, 1.95813
78, 8.29, 1.05, 1077.38095, 2.1989, 1.04762, 8530.892, 15543.514, 1.99506
79, 8.246, 1.06122, 951.92308, 2.31313, 1.10891, 8519.048, 15700.862, 1.97596
80, 8.21, 1.08, 1050.92593, 2.0793, 1.0989, 8558.55, 15836.116, 2.04831
81, 8.19, 1.12222, 1009.90099, 2.23529, 1.08654, 8534.724, 16011.448, 2.04843
82, 8.166, 1.05376, 974.4898, 2.17277, 1.09524, 8543.496, 16140.64, 2.07194
83, 8.128, 1.10465, 1021.05263, 2.15979, 1.03371, 8548.312, 16276.544, 2.07494
