time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 1.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 10.0, 9.0, 1254.95556, 0.0828, 0.0, 11028.096, 0.0, 0.0
2, 10.0, 0.0, 0.0, 0.0, 0.0, 10950.752, 0.0, 0.0
3, 10.0, 0.0, 0.0, 0.0, 0.0, 10948.996, 0.0, 0.0
4, 10.0, 0.0, 0.0, 0.0, 0.0, 10946.606, 0.0, 0.0
5, 10.0, 0.0, 0.0, 0.0, 0.0, 10943.72, 0.0, 0.0
6, 10.0, 0.0, 0.0, 0.0, 0.0, 10940.22, 0.0, 0.0
7, 10.0, 0.0, 0.0, 0.0, 0.0, 10936.256, 0.0, 0.0
8, 10.0, 0.0, 0.0, 0.0, 0.0, 10931.64, 0.0, 0.0
9, 10.0, 0.0, 0.0, 0.0, 0.0, 10926.59, 0.0, 0.0
10, 10.0, 0.0, 0.0, 0.0, 0.0, 10921.238, 0.0, 0.0
11, 10.0, 0.0, 0.0, 0.0, 0.0, 10896.11, 0.0, 0.0
12, 10.0, 0.0, 0.0, 0.0, 0.0, 10870.65, 0.0, 0.0
13, 10.0, 0.0, 0.0, 0.0, 0.0, 10845.716, 0.0, 0.0
14, 10.0, 0.0, 0.0, 0.0, 0.0, 10820.632, 0.0, 0.0
15, 10.0, 0.0, 0.0, 0.0, 0.0, 10796.458, 0.0, 0.0
16, 10.0, 0.0, 0.0, 0.0, 0.0, 10772.43, 0.0, 0.0
17, 10.0, 0.0, 0.0, 0.0, 0.0, 10748.302, 0.0, 0.0
18, 10.0, 0.0, 0.0, 0.0, 0.0, 10724.808, 0.0, 0.0
19, 10.0, 0.0, 0.0, 0.0, 0.0, 10702.044, 0.0, 0.0
20, 10.0, 0.0, 0.0, 0.0, 0.0, 10678.81, 0.0, 0.0
21, 10.0, 0.0, 0.0, 0.0, 0.0, 10655.794, 0.0, 0.0
22, 10.0, 0.0, 0.0, 0.0, 0.0, 10632.822, 0.0, 0.0
23, 10.0, 0.0, 0.0, 0.0, 0.0, 10609.746, 0.0, 0.0
