time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 2060.804, 837.68277, 150.31717, 0.0, 1359248.18, 0.0, 2060.804
2, 0.0, 982.304, 667.39421, 349.16446, 101.26, 1734846.07, 81287.502, 2942.848
3, 0.0, 951.62, 600.23329, 458.32061, 96.478, 2044769.732, 149985.68, 3797.99
4, 0.0, 917.204, 548.13542, 555.15756, 116.132, 2283586.74, 228222.702, 4599.062
5, 0.0, 887.536, 506.6003, 640.87447, 135.698, 2471195.082, 315183.326, 5350.9
6, 0.0, 860.714, 474.91501, 717.9655, 154.082, 2621341.74, 411066.95, 6057.532
7, 0.0, 831.086, 447.79, 787.79545, 170.54, 2742834.124, 512063.978, 6718.078
8, 0.0, 804.242, 424.77762, 851.24863, 185.198, 2842167.014, 617661.38, 7337.122
9, 0.0, 776.19, 408.17583, 909.39945, 201.154, 2923588.866, 729244.956, 7912.158
10, 0.0, 752.324, 394.63316, 963.25011, 213.136, 2992130.194, 843504.654, 8451.346
11, 1605.178, 726.91, 379.87646, 1009.32393, 187.248, 3032647.064, 923065.1, 7385.83
12, 2078.982, 702.17, 374.57026, 1047.12462, 472.26, 2988884.23, 1207124.064, 7141.936
13, 2556.568, 677.638, 378.87486, 1083.131, 439.124, 2962290.674, 1445442.148, 6902.864
14, 2964.732, 656.192, 378.8952, 1118.25415, 475.552, 2931370.0, 1693467.21, 6675.34
15, 3311.146, 636.738, 383.63032, 1152.3458, 508.558, 2899204.44, 1946312.584, 6457.106
16, 3606.598, 614.494, 388.98997, 1186.10216, 531.126, 2866922.666, 2198952.316, 6245.022
17, 3853.256, 595.334, 392.80135, 1219.18485, 551.108, 2834309.406, 2450925.454, 6042.59
18, 4058.174, 575.542, 397.28812, 1251.56829, 570.602, 2801091.406, 2701817.886, 5842.612
19, 4222.098, 557.1, 404.71729, 1283.35991, 583.84, 2768791.138, 2949253.756, 5651.948
20, 4355.24, 538.924, 409.16344, 1314.91732, 591.722, 2736811.418, 3192293.198, 5466.008
21, 4455.962, 520.722, 416.03389, 1345.24824, 598.76, 2704154.42, 3428072.396, 5287.248
22, 4530.722, 504.284, 422.25809, 1374.32531, 602.06, 2671364.452, 3655139.02, 5114.712
23, 4582.464, 488.488, 428.00233, 1402.24147, 602.87, 2638431.146, 3873984.334, 4948.588
24, 4611.018, 469.836, 435.19015, 1428.86555, 603.666, 2604303.518, 4087201.422, 4786.204
25, 4624.858, 456.614, 440.78806, 1454.37943, 599.74, 2571089.246, 4292172.174, 4629.238
26, 4621.766, 440.91, 447.80567, 1478.98723, 595.874, 2537819.282, 4490928.582, 4477.366
27, 4603.938, 427.588, 455.68631, 1502.8955, 590.86, 2505442.758, 4683274.77, 4331.922
28, 4573.782, 413.714, 459.29313, 1525.81691, 583.446, 2472837.246, 4869651.78, 4192.346
29, 4532.404, 399.644, 465.40921, 1547.82217, 577.632, 2439941.538, 5051300.338, 4055.736
30, 4483.524, 385.37, 473.40997, 1568.72459, 568.51, 2407331.788, 5227829.088, 3921.476
31, 4425.652, 372.976, 478.78148, 1589.25403, 558.558, 2375126.588, 5398427.302, 3793.766
32, 4363.484, 360.296, 485.08449, 1609.0345, 548.868, 2343194.284, 5563216.286, 3667.362
33, 4294.336, 349.762, 491.68292, 1628.05318, 538.77, 2311723.5, 5722688.178, 3547.502
34, 4216.906, 336.464, 496.71882, 1646.03208, 530.57, 2278762.824, 5878525.604, 3430.826
35, 4140.502, 327.498, 503.5817, 1663.38195, 515.926, 2248039.762, 6026149.716, 3318.802
36, 4060.164, 316.364, 513.56033, 1680.15507, 505.478, 2217334.34, 6169790.938, 3210.026
37, 3975.542, 305.886, 518.28459, 1696.00671, 496.146, 2185751.272, 6309489.734, 3104.388
38, 3891.91, 295.784, 526.71544, 1711.48283, 482.056, 2155270.638, 6443056.04, 3001.748
39, 3805.714, 285.348, 529.71109, 1725.93509, 470.796, 2124138.198, 6571723.122, 2902.496
40, 3715.038, 276.518, 537.9686, 1739.35062, 461.52, 2092545.63, 6697647.838, 2808.17
41, 3626.92, 268.176, 543.12094, 1752.63773, 447.956, 2061649.866, 6818086.394, 2716.508
