time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 1223.8593, 895.32659, 95.59553, 0.0, 917359.32663, 0.0, 1223.8593
2, 0.0, 581.84925, 770.23526, 224.98836, 59.75377, 1214865.15075, 52527.53266, 1746.95477
3, 0.0, 563.74372, 716.73575, 301.02608, 56.76382, 1476723.21608, 97176.74372, 2253.93467
4, 0.0, 546.46231, 669.43152, 370.64444, 68.72362, 1690771.85427, 149986.25628, 2731.67337
5, 0.0, 528.54774, 631.21666, 434.16085, 80.1809, 1867741.8794, 209086.0201, 3180.0402
6, 0.0, 508.41709, 599.95058, 491.94921, 91.54271, 2013903.78894, 275401.82915, 3596.91457
7, 0.0, 491.64322, 575.19139, 545.27522, 100.86935, 2137776.18593, 346259.53769, 3987.68844
8, 0.0, 477.45729, 548.82438, 594.86824, 111.03518, 2242166.86935, 422198.96985, 4354.11055
9, 0.0, 463.17085, 532.29324, 640.60022, 118.61809, 2332609.63317, 501536.26131, 4698.66332
10, 0.0, 447.55779, 517.97584, 684.0259, 126.39196, 2410404.52261, 584639.33668, 5019.82915
11, 953.90955, 433.74874, 503.29024, 724.35146, 110.48744, 2485364.56784, 650589.44724, 4389.1809
12, 1392.39698, 414.44221, 491.25785, 761.72974, 122.70854, 2546437.19095, 725013.48744, 4242.42714
13, 1816.0201, 402.28141, 476.49087, 796.78653, 118.37688, 2603114.21106, 793070.95477, 4102.70854
14, 2222.70352, 393.31156, 463.9768, 829.97081, 121.81407, 2653578.12563, 862179.11055, 3967.52261
15, 2611.31156, 378.32161, 454.8256, 861.06936, 119.80402, 2699535.24121, 928087.83417, 3837.43216
16, 2982.8392, 367.22111, 444.57216, 890.91939, 119.57789, 2741060.25126, 992737.8794, 3713.54774
17, 3336.61307, 352.10553, 436.66957, 918.5561, 119.1809, 2778263.89447, 1055689.64824, 3592.69849
18, 3679.11558, 341.15075, 428.27262, 944.97634, 117.80905, 2812250.59296, 1116685.90452, 3473.53769
19, 4005.92462, 329.8995, 423.16832, 969.64533, 118.74874, 2843005.36683, 1177350.79397, 3357.8794
20, 4318.11055, 320.24121, 417.61863, 993.65582, 118.30151, 2871239.01508, 1236868.41709, 3247.63317
21, 4617.14573, 309.13065, 410.63446, 1015.69847, 118.03015, 2896631.41709, 1295327.88945, 3139.69849
22, 4899.57286, 296.60804, 406.70902, 1037.70341, 118.06533, 2919266.23618, 1353155.8392, 3035.81407
23, 5169.1407, 288.15578, 402.26357, 1057.87896, 117.13065, 2940059.01508, 1409860.1206, 2937.27136
24, 5429.44221, 282.93467, 396.13527, 1077.66011, 117.96482, 2959188.71357, 1466215.22111, 2841.9397
25, 5676.54774, 271.61307, 390.00204, 1095.77187, 118.38693, 2975429.93467, 1522979.84422, 2748.0603
26, 5913.58794, 262.35678, 390.27754, 1113.82146, 117.28141, 2990633.43216, 1578281.42211, 2656.09548
