time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 1419.66, 132.71558, 1.80377, 0.0, 171387.82, 0.0, 1419.66
2, 0.0, 673.64, 97.60851, 4.11487, 70.554, 223948.894, 9257.152, 2023.746
3, 0.0, 653.69, 95.30083, 5.38459, 65.91, 276721.136, 16345.202, 2611.526
4, 0.0, 631.702, 93.85565, 6.61, 80.388, 324951.28, 24766.636, 3162.84
5, 0.0, 609.47, 92.88661, 7.77221, 92.37, 369056.964, 34391.09, 3679.94
6, 0.0, 590.114, 92.0795, 8.88859, 105.676, 409556.736, 45146.662, 4164.378
7, 0.0, 570.486, 91.22082, 9.96045, 117.442, 446541.336, 57000.01, 4617.422
8, 0.0, 551.808, 90.5246, 10.97798, 128.218, 480528.162, 69680.608, 5041.012
9, 0.0, 532.818, 89.8791, 11.95797, 137.28, 511584.25, 83200.856, 5436.55
10, 0.0, 517.398, 89.23614, 12.89915, 146.368, 540150.658, 97479.974, 5807.58
11, 1106.538, 499.318, 88.66534, 13.79244, 128.482, 568175.25, 109058.26, 5071.878
12, 1593.97, 482.632, 88.25938, 14.64132, 161.674, 590946.024, 124432.406, 4905.404
13, 2068.394, 466.834, 87.76524, 15.44093, 154.81, 613009.142, 138750.442, 4743.004
14, 2518.864, 454.128, 87.34498, 16.20555, 158.306, 633633.014, 153194.524, 4588.356
15, 2943.652, 438.088, 86.86063, 16.96741, 160.902, 652572.812, 167761.274, 4440.754
16, 3347.292, 424.0, 86.49481, 17.68696, 165.82, 669954.336, 182574.308, 4295.294
17, 3727.924, 408.134, 86.12956, 18.36115, 168.074, 685691.414, 197620.01, 4154.722
18, 4089.102, 395.894, 85.79721, 19.02171, 170.276, 700260.8, 212698.12, 4019.162
19, 4429.44, 382.224, 85.63408, 19.64038, 173.634, 713486.062, 227985.266, 3887.414
20, 4753.064, 370.86, 85.32923, 20.24392, 174.332, 725744.692, 243216.07, 3760.318
21, 5057.452, 358.02, 85.19524, 20.82783, 176.58, 736805.574, 258587.106, 3637.37
22, 5343.928, 346.178, 84.90083, 21.38378, 178.51, 746839.382, 273938.868, 3518.562
23, 5613.046, 334.324, 84.71602, 21.9048, 181.272, 755686.668, 289527.838, 3402.496
24, 5867.922, 324.048, 84.32208, 22.40257, 182.072, 763663.256, 305043.762, 3289.596
25, 6106.78, 312.486, 84.11257, 22.92907, 182.362, 770727.556, 320513.718, 3180.862
26, 6331.02, 303.03, 83.86496, 23.35952, 184.64, 776873.006, 336130.916, 3075.012
27, 6538.336, 294.95, 83.89897, 23.8324, 186.542, 782370.742, 351776.18, 2976.104
28, 6732.262, 284.762, 83.69516, 24.27071, 187.042, 787052.422, 367406.492, 2879.898
29, 6914.522, 273.192, 83.87801, 24.68619, 186.104, 791072.43, 382847.894, 2784.726
30, 7083.72, 265.518, 83.72916, 25.08501, 187.294, 794467.812, 398287.966, 2693.752
31, 7240.446, 256.78, 83.62879, 25.46217, 187.496, 797189.092, 413725.11, 2606.31
32, 7385.198, 248.17, 83.13898, 25.82519, 188.566, 799175.722, 429152.64, 2521.162
33, 7520.022, 240.636, 83.34497, 26.20232, 187.676, 800695.236, 444502.622, 2439.298
34, 7643.202, 233.316, 83.38219, 26.48617, 188.786, 801736.398, 459788.594, 2360.648
35, 7755.494, 223.08, 83.40775, 26.85575, 188.792, 802068.094, 475018.42, 2282.644
36, 7858.666, 217.81, 83.28727, 27.16336, 188.208, 802078.806, 490127.118, 2209.074
37, 7955.102, 209.816, 83.19861, 27.437, 188.036, 801608.28, 505105.758, 2134.418
38, 8042.068, 204.064, 83.18175, 27.7245, 186.936, 800831.59, 519925.512, 2064.58
39, 8117.33, 196.248, 83.422, 28.00594, 188.186, 799459.146, 534815.856, 1997.38
40, 8186.98, 189.584, 83.30872, 28.26381, 187.04, 797751.456, 549497.022, 1930.274
41, 8247.156, 183.698, 83.27908, 28.52281, 187.312, 795649.192, 564116.86, 1866.484
42, 8301.262, 178.934, 83.11556, 28.74976, 185.462, 793295.332, 578570.416, 1805.85
43, 8348.228, 172.012, 83.42441, 28.99208, 184.428, 790609.634, 592874.034, 1746.468
44, 8387.712, 166.788, 83.30935, 29.21645, 184.738, 787563.436, 607129.024, 1689.034
45, 8418.636, 160.576, 83.39478, 29.40589, 184.044, 784206.402, 621218.47, 1634.642
46, 8446.48, 155.036, 83.63348, 29.59797, 182.414, 780587.906, 635169.094, 1579.42
47, 8466.602, 150.322, 83.70032, 29.80734, 181.896, 776722.47, 648998.478, 1527.724
48, 8482.516, 146.804, 83.48546, 29.98957, 179.808, 772766.718, 662594.66, 1478.806
49, 8492.142, 140.688, 83.65745, 30.166, 179.166, 768475.596, 676065.278, 1430.702
50, 8496.796, 135.778, 83.60706, 30.34253, 177.472, 763961.892, 689363.296, 1384.354
51, 8496.908, 132.47, 83.86201, 30.50076, 176.744, 759286.902, 702589.01, 1339.968
52, 8493.022, 127.284, 83.81729, 30.63249, 176.038, 754368.71, 715633.812, 1295.1
53, 8485.706, 124.374, 84.10922, 30.77115, 173.604, 749492.878, 728402.588, 1253.186
54, 8473.254, 118.494, 84.22199, 30.91136, 173.0, 744239.466, 741109.248, 1211.132
55, 8456.2, 114.948, 84.29551, 31.03616, 172.252, 738869.574, 753646.656, 1170.882
56, 8435.492, 111.414, 84.24974, 31.17975, 170.194, 733413.454, 765963.728, 1132.81
