time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 1032.038, 910.06339, 81.99633, 0.0, 798819.554, 0.0, 1032.038
2, 0.0, 491.96, 800.13416, 193.72905, 51.226, 1068617.102, 46045.442, 1473.772
3, 0.0, 473.538, 748.99586, 260.42178, 48.152, 1307481.164, 85049.188, 1899.158
4, 0.0, 457.018, 706.58048, 321.48231, 57.746, 1505482.938, 130494.504, 2298.43
5, 0.0, 444.768, 670.4619, 377.3396, 67.834, 1671486.818, 182645.938, 2675.364
6, 0.0, 427.746, 640.51096, 428.7004, 76.216, 1810507.484, 239521.354, 3026.894
7, 0.0, 415.266, 616.00998, 476.09167, 85.24, 1928836.654, 301403.214, 3356.92
8, 0.0, 403.46, 592.81713, 520.2981, 92.842, 2030057.39, 367037.068, 3667.538
9, 0.0, 388.646, 573.15912, 561.38413, 100.126, 2115768.534, 436239.02, 3956.058
10, 0.0, 375.5, 557.84288, 599.44864, 107.434, 2189034.748, 508866.334, 4224.124
11, 803.65, 363.058, 542.96008, 632.62841, 93.12, 2240732.118, 562273.67, 3690.412
12, 1041.312, 352.458, 535.8142, 660.46454, 236.468, 2225477.666, 727048.58, 3568.74
13, 1278.562, 339.278, 534.62942, 687.13815, 219.374, 2218874.58, 870662.204, 3451.394
14, 1481.194, 327.84, 535.82845, 712.54338, 238.692, 2205747.866, 1023686.472, 3337.91
15, 1656.664, 318.246, 534.15911, 737.27888, 252.592, 2189349.628, 1179905.826, 3228.094
16, 1801.758, 308.854, 534.99712, 761.17854, 266.58, 2169513.844, 1339995.086, 3125.274
17, 1924.88, 297.91, 541.47226, 784.66778, 276.612, 2148103.876, 1501104.334, 3023.45
18, 2029.306, 287.572, 542.49371, 807.21625, 283.718, 2124996.392, 1661507.792, 2922.878
19, 2111.448, 278.198, 547.22176, 829.28686, 292.58, 2099410.206, 1823828.588, 2826.354
20, 2176.47, 269.856, 549.57459, 850.63662, 296.242, 2073544.294, 1983610.884, 2734.946
21, 2227.592, 260.574, 558.27519, 871.31064, 299.116, 2047070.352, 2138881.718, 2645.282
22, 2265.52, 251.842, 563.23409, 891.06077, 301.66, 2019166.992, 2289943.056, 2557.536
23, 2290.456, 244.572, 568.47881, 909.7576, 302.478, 1990523.182, 2436819.316, 2474.694
24, 2305.034, 236.646, 570.95408, 927.55908, 301.36, 1960468.292, 2580006.216, 2395.402
25, 2310.832, 227.878, 578.37088, 944.60535, 300.618, 1929899.13, 2718943.208, 2316.864
26, 2309.81, 221.474, 581.6755, 960.74097, 297.662, 1899542.702, 2853113.882, 2241.698
27, 2300.752, 212.642, 591.20964, 976.1064, 295.846, 1868786.206, 2983653.892, 2167.552
28, 2284.852, 206.302, 597.53177, 991.17629, 293.376, 1838208.842, 3110549.078, 2096.378
29, 2265.154, 199.99, 601.13006, 1005.24131, 287.962, 1807925.85, 3233148.38, 2028.104
30, 2240.24, 193.398, 607.13141, 1019.13759, 285.502, 1777255.436, 3352969.248, 1960.914
31, 2210.972, 187.33, 614.3063, 1032.04496, 280.186, 1747459.17, 3468374.606, 1897.326
32, 2180.06, 181.224, 621.80506, 1044.90304, 274.404, 1718009.612, 3579969.496, 1835.058
33, 2144.952, 174.31, 626.87167, 1056.9107, 270.116, 1688206.246, 3687724.802, 1774.36
34, 2108.728, 168.89, 632.77873, 1068.45206, 263.626, 1658961.65, 3791246.342, 1715.848
35, 2069.806, 162.542, 638.99792, 1079.21074, 258.552, 1629646.202, 3890864.574, 1658.76
36, 2030.108, 157.564, 643.63687, 1089.42663, 252.604, 1600274.57, 3987199.664, 1603.418
37, 1987.884, 152.156, 650.62173, 1099.03834, 246.524, 1571800.384, 4078880.394, 1551.274
38, 1945.038, 147.68, 655.93174, 1108.3538, 242.014, 1543064.018, 4167972.13, 1499.786
