time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 612.13333, 944.84862, 50.6788, 0.0, 510967.92889, 0.0, 612.13333
2, 0.0, 291.97778, 870.79686, 120.62758, 30.98667, 699968.05778, 30255.05333, 874.12444
3, 0.0, 283.11111, 833.54788, 164.3823, 28.72444, 877313.08444, 55084.39556, 1128.51111
4, 0.0, 273.12444, 799.83076, 205.52517, 35.16444, 1029971.59111, 84973.24444, 1366.47111
5, 0.0, 262.82667, 774.80722, 243.9041, 39.26667, 1163165.36889, 118055.83111, 1590.03111
6, 0.0, 255.46667, 747.26862, 279.66091, 45.11111, 1279091.05778, 155548.89333, 1800.38667
7, 0.0, 245.67556, 727.35496, 312.94608, 49.70222, 1380799.09333, 195594.87111, 1996.36
8, 0.0, 238.92889, 713.0713, 344.67629, 54.36889, 1471127.71111, 239374.48444, 2180.92
9, 0.0, 230.01333, 692.11447, 374.48206, 60.18667, 1548919.19111, 286791.60444, 2350.74667
10, 0.0, 222.48889, 675.18977, 402.46559, 63.31556, 1617771.22667, 335807.62667, 2509.92
11, 477.39111, 216.14667, 661.69062, 429.02688, 54.88, 1684526.23556, 376251.14222, 2193.79556
12, 697.23556, 208.95111, 651.59314, 453.75181, 61.03556, 1742362.50222, 421060.73778, 2121.86667
13, 910.77333, 202.75111, 640.52259, 477.54921, 59.88889, 1796244.05778, 463955.98667, 2051.19111
14, 1114.52889, 194.83111, 630.10699, 499.87622, 59.72444, 1844879.43111, 506496.53333, 1982.54222
15, 1309.01333, 188.39111, 621.75616, 520.84219, 59.74222, 1889852.12889, 547987.67111, 1916.70667
16, 1495.68444, 182.26667, 610.11948, 541.18409, 59.53778, 1931135.67556, 588311.07111, 1852.76444
17, 1673.64889, 175.42667, 605.53318, 560.25007, 59.26667, 1969176.86667, 627994.72, 1790.96
18, 1844.67556, 169.92, 597.58841, 578.58257, 58.92444, 2004394.28, 666755.60889, 1730.92889
19, 2007.29778, 166.34667, 588.4899, 596.09798, 59.84, 2036655.53778, 706034.79111, 1674.81333
20, 2162.47111, 160.09778, 578.84071, 612.65685, 59.38667, 2066045.59556, 744309.20889, 1620.35111
21, 2311.00889, 155.26667, 573.89438, 628.55454, 59.02667, 2093160.81333, 782325.25333, 1568.05333
22, 2452.90222, 149.77333, 568.14742, 643.81646, 58.89333, 2117851.48, 819971.02222, 1517.04
23, 2588.82667, 145.40444, 564.37217, 658.00942, 58.08, 2140987.2, 856828.95111, 1468.44
24, 2718.08889, 138.92889, 555.45603, 672.12705, 59.59111, 2160473.15556, 894742.6, 1418.51556
25, 2840.71556, 135.12444, 556.19511, 685.25825, 59.09333, 2179628.30667, 930901.17778, 1371.92
26, 2957.63556, 132.2, 550.57993, 697.78622, 58.73778, 2197124.42222, 967352.20444, 1328.46222
27, 3068.12889, 127.44, 546.66248, 709.83534, 58.01778, 2213387.65333, 1002601.42667, 1287.39111
28, 3174.45333, 123.15111, 544.51622, 721.62944, 57.87556, 2227995.73778, 1037975.58667, 1246.34222
29, 3276.70222, 117.98667, 540.62606, 732.25732, 57.33333, 2241002.58222, 1072794.56889, 1204.74667
30, 3373.56889, 115.81333, 539.2202, 743.53918, 57.68, 2253136.93333, 1107645.62222, 1166.01333
31, 3465.50222, 111.44444, 533.63908, 753.84934, 57.41333, 2263791.64, 1142038.54667, 1128.11111
32, 3552.49333, 107.03556, 536.93477, 763.71147, 56.56, 2273632.75111, 1175787.96, 1091.59556
33, 3635.45333, 103.20444, 529.95134, 772.90257, 56.61333, 2281985.43111, 1209357.88444, 1055.22667
34, 3713.14667, 99.52889, 534.20559, 781.87654, 56.38667, 2289814.44889, 1242288.50667, 1020.67556
35, 3786.89333, 96.28, 529.33573, 790.46368, 56.63556, 2296135.84, 1275696.54222, 986.57333
36, 3857.48889, 93.53333, 526.77596, 798.76033, 56.48444, 2301687.52444, 1308775.44, 953.02667
37, 3923.8, 90.27556, 530.72076, 806.30371, 55.80889, 2306867.41778, 1341131.33333, 921.18222
38, 3986.02222, 87.66667, 526.9962, 814.68398, 56.4, 2310896.95556, 1373837.23111, 890.22667
39, 4043.81333, 85.33333, 530.9375, 821.96498, 55.96889, 2314524.48889, 1406335.72889, 861.8
40, 4099.99111, 81.06667, 519.24342, 829.05427, 55.72444, 2316721.48889, 1438233.29333, 830.96444
41, 4152.40444, 79.60889, 524.56454, 835.86622, 54.99556, 2318749.43111, 1470143.84889, 803.16444
42, 4200.79556, 76.74667, 524.90155, 842.81553, 54.74667, 2320241.24, 1501476.06222, 776.77333
43, 4245.22667, 74.41333, 519.14233, 848.63254, 54.30222, 2321014.95556, 1532503.29333, 752.45333
44, 4287.01778, 71.37333, 525.06383, 854.9343, 54.60444, 2321303.25778, 1563209.56444, 727.43111
45, 4326.34222, 68.66667, 520.19417, 860.00597, 52.96444, 2320980.48444, 1593308.41333, 703.80889
46, 4363.52, 66.44444, 522.00669, 865.93606, 53.31556, 2320084.47556, 1623420.29778, 679.76
47, 4396.74222, 65.18667, 518.6473, 870.91968, 53.74222, 2318869.34667, 1653239.74667, 657.98222
48, 4427.53778, 62.54222, 511.01478, 876.11695, 53.55111, 2316364.85333, 1683604.2, 636.17778
49, 4457.03556, 61.06222, 516.34035, 880.75909, 52.88, 2314101.05333, 1713065.11556, 614.86222
50, 4482.66667, 59.58667, 519.1318, 885.3908, 53.15111, 2311367.66667, 1742795.67111, 595.66667
51, 4506.75111, 56.15111, 520.02533, 889.85479, 52.38222, 2308109.04889, 1771728.17778, 575.35111
52, 4528.37778, 54.92, 517.92506, 894.85234, 52.88444, 2304072.56889, 1801347.57333, 555.76
53, 4548.06222, 52.97778, 517.36577, 897.93822, 52.04889, 2299889.66667, 1830186.61778, 537.00444
54, 4564.66667, 51.07111, 523.54016, 903.25066, 51.70667, 2295383.66667, 1858905.61333, 519.76444
