time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 707.818, 163.65704, 1.10564, 0.0, 105904.516, 0.0, 707.818
2, 0.0, 338.304, 107.25797, 2.47776, 35.42, 134514.96, 5919.206, 1011.702
3, 0.0, 327.734, 101.98271, 3.16629, 33.65, 162939.24, 10209.446, 1305.786
4, 0.0, 315.624, 99.1699, 3.81954, 40.472, 188596.216, 15138.322, 1580.938
5, 0.0, 304.998, 97.37965, 4.41998, 47.25, 211993.436, 20662.848, 1838.686
6, 0.0, 294.364, 96.469, 5.02131, 53.086, 233547.96, 26660.812, 2079.964
7, 0.0, 286.702, 95.60798, 5.57471, 58.45, 253513.016, 33209.402, 2308.216
8, 0.0, 275.828, 94.98746, 6.11461, 63.808, 271778.172, 40214.644, 2520.236
9, 0.0, 266.948, 94.5967, 6.62547, 68.996, 288555.14, 47735.996, 2718.188
10, 0.0, 258.622, 94.09718, 7.14101, 73.324, 304167.702, 55477.08, 2903.486
11, 550.81, 250.372, 93.84835, 7.59822, 63.594, 319919.64, 61526.654, 2539.454
12, 796.31, 242.63, 93.39158, 8.03645, 80.378, 332495.466, 69941.52, 2456.206
13, 1034.084, 233.102, 93.0983, 8.47219, 77.452, 344783.52, 77611.566, 2374.082
14, 1258.294, 225.834, 92.90452, 8.89904, 79.724, 356167.57, 85447.498, 2295.982
15, 1470.986, 218.922, 92.63847, 9.27875, 81.026, 366689.33, 93447.146, 2221.186
16, 1672.574, 212.276, 92.45511, 9.65682, 81.846, 376589.834, 101401.288, 2150.028
17, 1863.722, 204.55, 92.34319, 10.01941, 84.42, 385591.022, 109523.684, 2079.01
18, 2044.158, 197.98, 92.03455, 10.37572, 85.352, 393881.228, 117700.914, 2011.202
19, 2214.818, 190.978, 91.9729, 10.72612, 86.046, 401465.856, 125936.712, 1945.474
20, 2376.808, 185.838, 91.64756, 11.01049, 87.322, 408519.028, 134174.904, 1882.0
21, 2529.666, 178.604, 91.68776, 11.35827, 88.608, 414823.116, 142520.898, 1819.138
22, 2673.586, 172.292, 91.43895, 11.63984, 89.106, 420410.21, 150977.424, 1758.404
23, 2807.648, 166.372, 91.18241, 11.92541, 90.308, 425464.292, 159387.152, 1700.406
24, 2934.152, 163.074, 91.20154, 12.21062, 91.472, 430170.006, 167838.312, 1645.504
25, 3053.002, 156.758, 91.07924, 12.49271, 92.032, 434192.756, 176397.906, 1591.38
26, 3165.45, 151.446, 91.0265, 12.7195, 92.258, 437813.802, 184869.61, 1538.12
27, 3269.952, 146.296, 90.96763, 12.9534, 92.376, 441028.016, 193276.064, 1487.538
28, 3367.152, 141.678, 90.84685, 13.20089, 93.154, 443770.232, 201727.412, 1438.862
29, 3458.528, 136.508, 90.95438, 13.4438, 93.126, 446096.736, 210149.778, 1390.868
30, 3543.742, 133.42, 90.86044, 13.6439, 93.286, 448202.172, 218494.206, 1345.788
31, 3622.742, 128.336, 90.77266, 13.86255, 93.756, 449819.706, 226873.842, 1301.368
32, 3695.072, 124.038, 90.53677, 14.05952, 93.838, 451063.852, 235219.87, 1259.238
33, 3762.104, 119.582, 90.73272, 14.22192, 94.278, 451921.26, 243588.656, 1217.51
