time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 207.656, 547.49201, 5.15066, 0.0, 104569.052, 0.0, 207.656
2, 0.0, 98.01, 486.52178, 12.40196, 11.072, 143736.94, 5885.128, 295.594
3, 0.0, 95.21, 482.63838, 16.87139, 9.648, 183397.0, 10614.254, 381.156
4, 0.0, 91.63, 478.21674, 21.24718, 11.752, 219836.708, 16267.676, 461.034
5, 0.0, 89.0, 475.8764, 25.38472, 13.614, 253604.546, 22887.526, 536.42
6, 0.0, 86.482, 472.64171, 29.4275, 15.556, 284834.738, 30349.852, 607.346
7, 0.0, 82.65, 469.50998, 33.30473, 17.41, 313051.0, 38611.508, 672.586
8, 0.0, 80.642, 466.63029, 36.96644, 18.686, 339378.684, 47413.572, 734.542
9, 0.0, 76.774, 463.881, 40.46746, 20.49, 362698.042, 57155.214, 790.826
10, 0.0, 75.848, 461.84474, 43.79637, 21.32, 385053.318, 67104.52, 845.354
11, 161.36, 71.994, 459.82999, 46.82151, 18.86, 403008.58, 75056.532, 737.128
12, 208.194, 70.634, 457.10281, 49.49481, 47.518, 407120.958, 96663.816, 713.41
13, 255.656, 68.008, 457.8579, 52.05068, 44.114, 412435.836, 115874.094, 689.842
14, 296.164, 65.862, 455.54341, 54.44976, 47.392, 415779.106, 136271.328, 667.804
15, 331.332, 63.682, 456.32989, 56.84067, 50.33, 417638.296, 157523.388, 645.988
16, 360.922, 61.388, 456.22923, 58.99015, 53.568, 417614.778, 179961.864, 624.218
17, 385.794, 59.61, 456.48381, 61.21274, 54.786, 416767.444, 202651.482, 604.17
18, 406.098, 57.368, 457.29326, 63.2414, 56.992, 414591.002, 225963.712, 584.242
19, 421.99, 55.324, 454.45015, 65.27917, 58.176, 411403.424, 249401.22, 565.498
20, 435.766, 53.716, 456.71681, 67.20368, 59.116, 407674.796, 272933.232, 546.322
21, 445.774, 52.582, 457.533, 69.09776, 59.622, 403362.914, 296266.58, 529.274
22, 453.272, 50.332, 456.84654, 70.80965, 60.382, 397841.092, 319473.084, 511.726
23, 458.554, 48.7, 456.65298, 72.45303, 60.238, 391847.558, 342117.286, 494.906
24, 461.39, 46.734, 458.1675, 73.95736, 60.538, 385012.82, 364577.122, 478.266
25, 462.764, 45.642, 457.7363, 75.50388, 60.064, 378062.316, 386419.076, 462.47
26, 462.092, 43.754, 460.04937, 76.96512, 59.65, 370706.872, 407785.614, 447.246
27, 460.77, 43.0, 459.76744, 78.06429, 58.804, 363434.304, 428561.556, 432.764
28, 457.518, 41.11, 462.56385, 79.32194, 58.62, 355742.18, 448960.628, 418.506
29, 453.194, 40.306, 461.59381, 80.61333, 57.826, 348159.738, 468761.002, 405.31
30, 448.546, 38.602, 462.64442, 81.58827, 56.834, 340320.844, 488051.124, 391.726
31, 443.084, 37.388, 463.30373, 82.58198, 55.958, 332527.71, 506693.448, 378.618
32, 436.478, 36.148, 464.09207, 83.66887, 55.044, 324641.752, 524818.548, 366.328
33, 429.648, 34.836, 464.2324, 84.56208, 53.928, 316698.104, 542297.992, 354.066
34, 421.692, 33.4, 466.40719, 85.52118, 52.972, 308701.376, 559154.772, 342.45
35, 413.996, 32.614, 467.46796, 86.40325, 51.588, 301042.056, 575225.958, 331.172
36, 405.362, 31.344, 466.97933, 86.81738, 50.566, 293302.248, 590681.218, 320.584
37, 397.334, 30.688, 467.18587, 87.68152, 49.464, 285705.186, 605605.53, 309.836
38, 388.752, 29.866, 468.32519, 88.30886, 48.23, 278391.234, 619780.232, 300.054
39, 380.454, 28.72, 470.57799, 88.84144, 47.088, 271122.722, 633380.078, 289.984
40, 371.344, 27.91, 469.65245, 89.61001, 46.396, 263784.156, 646577.108, 280.608
41, 362.558, 26.502, 470.60599, 90.1788, 44.514, 256586.13, 658951.618, 271.382
42, 353.366, 25.722, 471.61963, 90.44259, 43.918, 249380.152, 670939.394, 262.378
43, 344.588, 25.094, 473.06129, 90.84323, 42.26, 242624.788, 682154.268, 253.99
44, 335.24, 24.406, 474.35057, 91.31113, 41.75, 235779.046, 693127.644, 245.994
45, 326.724, 23.38, 475.57742, 91.68271, 39.916, 229282.988, 703243.306, 237.974
46, 318.008, 22.172, 474.42721, 92.17083, 38.812, 222674.232, 712840.99, 230.05
47, 309.89, 21.824, 473.42375, 92.38928, 38.018, 216291.382, 721982.472, 221.974
48, 301.456, 21.202, 476.22866, 92.46291, 37.106, 210027.464, 730743.26, 214.504
49, 293.364, 20.522, 476.61047, 92.72528, 35.8, 203996.81, 738913.866, 207.318
50, 285.274, 19.804, 475.56049, 92.93587, 34.466, 198230.414, 746421.394, 200.746
51, 276.946, 19.05, 478.32021, 93.01921, 33.768, 192452.8, 753611.544, 194.356
52, 268.754, 18.216, 478.75494, 93.04999, 33.142, 186534.054, 760543.932, 187.622
53, 261.138, 17.868, 478.67696, 93.06466, 31.954, 180940.862, 766962.284, 181.152
