time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1000.998, 0.0, 0.0
1, 0.0, 116.426, 592.70266, 3.08296, 0.0, 63852.504, 0.0, 116.426
2, 0.0, 55.55, 492.90729, 7.40473, 6.548, 86166.12, 3850.154, 166.428
3, 0.0, 53.738, 489.93264, 9.96806, 5.40763, 109283.87, 6557.332, 214.78
4, 0.0, 51.484, 488.07396, 12.508, 6.564, 130623.776, 9840.562, 259.7
5, 0.0, 49.97, 486.11167, 14.9068, 7.79359, 150372.608, 13830.478, 301.892
6, 0.0, 48.726, 483.58166, 17.25697, 8.72, 168923.688, 18241.674, 341.898
7, 0.0, 46.724, 481.67965, 19.51137, 9.67, 185906.758, 23138.398, 378.952
8, 0.0, 45.022, 479.72103, 21.69108, 10.544, 201626.196, 28367.7, 413.43
9, 0.0, 43.97, 479.39504, 23.68945, 11.336, 216444.808, 33959.22, 446.064
10, 0.0, 42.41, 476.65645, 25.71457, 12.168, 229992.53, 39955.874, 476.306
11, 90.74, 41.008, 476.90694, 27.67674, 10.612, 243505.506, 45043.64, 415.962
12, 132.318, 39.662, 474.08098, 29.43663, 12.064, 255482.48, 50902.506, 401.982
13, 172.33, 38.206, 473.27645, 31.19063, 11.154, 267229.07, 56229.51, 389.022
14, 210.782, 36.57, 473.14739, 32.89002, 11.124, 278244.586, 61499.004, 376.016
15, 247.716, 36.158, 470.32469, 34.53728, 11.454, 288806.206, 66907.642, 363.786
16, 283.376, 34.56, 470.34144, 36.18579, 11.372, 298657.524, 72272.754, 351.314
17, 316.926, 33.47, 468.50911, 37.69269, 11.318, 307957.092, 77616.094, 339.916
18, 348.976, 32.274, 468.70546, 39.13321, 11.372, 316717.426, 82947.058, 328.768
19, 379.784, 31.414, 466.51175, 40.49539, 11.63, 324896.198, 88392.632, 317.744
20, 409.352, 30.312, 467.96648, 41.94156, 11.198, 332835.11, 93592.97, 307.29
21, 437.446, 29.7, 466.16162, 43.15789, 11.198, 340415.898, 98812.208, 297.698
22, 464.42, 27.984, 463.76501, 44.50593, 11.242, 347149.128, 104040.136, 287.466
23, 489.966, 27.38, 463.95179, 45.72188, 11.202, 353644.696, 109223.77, 278.098
24, 513.902, 26.452, 463.40541, 46.85797, 11.068, 359773.522, 114332.608, 269.546
25, 537.498, 25.704, 463.11858, 47.97799, 11.216, 365510.222, 119488.69, 260.438
26, 559.748, 24.544, 463.73859, 49.13759, 11.234, 370758.854, 124626.122, 251.498
27, 581.064, 23.822, 462.05188, 50.01181, 10.904, 375779.798, 129620.032, 243.1
28, 600.94, 23.372, 462.09139, 51.12148, 11.088, 380564.112, 134641.926, 235.508
29, 620.194, 22.326, 460.40491, 52.0144, 10.984, 384874.824, 139639.274, 227.596
30, 638.332, 21.764, 460.66899, 52.9233, 10.888, 389011.482, 144555.788, 220.334
31, 656.122, 20.798, 458.36138, 53.9936, 10.824, 392708.856, 149439.278, 212.518
32, 672.178, 20.374, 460.04712, 54.75749, 10.788, 396282.066, 154286.994, 206.048
33, 687.922, 19.634, 459.15249, 55.53233, 10.63, 399573.412, 159069.916, 199.308
34, 702.688, 18.998, 458.20613, 56.52682, 10.754, 402546.394, 163872.688, 192.786
35, 717.066, 18.484, 457.31443, 57.10955, 10.488, 405351.738, 168594.312, 186.404
36, 730.036, 17.798, 459.54602, 57.92126, 10.748, 407802.05, 173419.122, 180.484
37, 742.476, 17.26, 460.71842, 58.59029, 10.806, 410081.874, 178191.412, 174.498
38, 754.062, 16.436, 456.80214, 59.31513, 10.968, 411854.11, 183066.684, 168.38
39, 764.89, 15.884, 459.45606, 59.99164, 10.556, 413615.896, 187730.72, 162.88
40, 775.326, 15.178, 454.93477, 60.779, 10.53, 415046.014, 192352.68, 157.092
41, 784.954, 15.23, 459.48785, 61.1862, 10.302, 416630.94, 196893.518, 152.392
42, 794.176, 14.368, 457.96214, 61.81824, 10.372, 417767.948, 201496.652, 147.166
43, 802.756, 13.99, 454.96783, 62.40848, 10.35, 418752.432, 206046.024, 142.226
44, 810.906, 13.66, 453.29429, 63.11757, 10.186, 419654.2, 210501.744, 137.55
45, 818.52, 12.926, 457.4501, 63.54744, 10.358, 420269.722, 214986.374, 132.504
46, 825.526, 12.994, 454.28659, 64.06742, 10.014, 420981.814, 219349.936, 128.478
47, 831.73, 12.264, 454.66406, 64.46628, 10.232, 421345.01, 223763.9, 124.306
48, 837.502, 11.782, 459.17501, 64.89593, 10.058, 421599.646, 228123.924, 120.258
49, 842.6, 11.45, 456.33188, 65.42622, 10.084, 421685.566, 232476.748, 116.526
50, 847.088, 11.002, 456.008, 65.77397, 10.222, 421521.56, 236892.936, 112.818
51, 852.104, 10.776, 456.29176, 66.1989, 9.61, 421497.072, 241049.608, 108.968
52, 856.172, 10.404, 453.8639, 66.62516, 9.686, 421282.096, 245215.988, 105.618
53, 860.012, 9.9, 454.24242, 67.07449, 9.704, 420862.376, 249369.878, 101.974
54, 863.194, 9.642, 455.71458, 67.45676, 9.986, 420264.29, 253613.146, 98.448
55, 865.852, 9.478, 453.78772, 67.55289, 9.906, 419616.928, 257815.93, 95.362
56, 868.436, 9.086, 454.21528, 67.96947, 9.7, 418888.2, 261927.734, 92.164
57, 870.65, 8.99, 458.62069, 68.2976, 9.664, 418121.492, 266076.242, 89.276
58, 872.732, 8.462, 457.57504, 68.40522, 9.424, 417265.384, 270065.776, 86.232
59, 874.244, 8.414, 456.14452, 69.06279, 9.39479, 416434.158, 273991.422, 83.758
60, 875.438, 7.818, 459.70837, 69.49722, 9.566, 415237.742, 278067.806, 80.816
61, 876.516, 8.07, 457.37299, 69.45299, 9.26, 414342.702, 281909.304, 78.548
62, 877.164, 7.584, 460.04747, 69.76469, 9.35, 413146.612, 285872.864, 76.134
63, 877.268, 6.988, 458.64339, 69.8805, 9.442, 411726.846, 289792.724, 73.576
64, 877.346, 7.072, 458.99321, 70.27572, 9.16, 410460.958, 293584.138, 71.41
65, 877.464, 6.786, 453.43354, 70.53071, 9.11, 409049.724, 297361.928, 68.968
66, 877.32, 6.65731, 452.28778, 70.81032, 8.996, 407635.164, 301067.894, 66.76
67, 876.914, 6.43086, 457.77501, 70.81382, 8.938, 406188.14, 304739.916, 64.646
68, 876.26, 6.06024, 460.23857, 71.52664, 8.904, 404610.428, 308391.814, 62.432
69, 875.502, 6.01002, 455.15172, 71.18828, 8.814, 403011.682, 312011.286, 60.374
70, 874.414, 5.72837, 459.43098, 71.61888, 8.70341, 401407.882, 315522.09, 58.47
71, 873.25, 5.57631, 458.04825, 71.53381, 8.952, 399597.786, 319185.832, 56.236
72, 871.724, 5.40481, 461.62403, 71.81044, 8.766, 397815.324, 322763.884, 54.39
73, 869.924, 5.24899, 459.89202, 72.0587, 8.622, 396020.716, 326243.992, 52.754
74, 867.842, 5.08835, 455.60379, 71.98441, 8.834, 394071.88, 329816.31, 51.07
75, 865.8, 4.9596, 457.43381, 72.29964, 8.538, 392171.782, 333268.25, 49.484
76, 863.754, 4.69899, 461.95185, 72.40624, 8.41, 390256.808, 336638.998, 47.772
77, 861.394, 4.52227, 458.81826, 72.46146, 8.584, 388187.026, 340076.578, 46.016
78, 858.798, 4.28513, 461.02662, 72.55309, 8.414, 386056.446, 343468.966, 44.406
79, 856.21, 4.21107, 455.96107, 72.50961, 8.40882, 383918.534, 346796.53, 42.712
80, 853.432, 4.26465, 452.62909, 72.95238, 8.224, 381865.192, 350067.176, 41.488
81, 850.454, 4.05306, 462.99094, 72.87711, 8.262, 379755.638, 353327.356, 40.176
82, 847.74, 3.89876, 460.25437, 72.78584, 7.912, 377673.658, 356453.482, 38.752
83, 844.504, 3.80242, 463.67975, 72.83419, 8.274, 375466.604, 359725.92, 37.486
84, 841.328, 3.74743, 462.73973, 73.27946, 7.998, 373325.594, 362865.874, 36.314
85, 838.126, 3.50518, 454.81394, 72.89481, 8.006, 371057.142, 365990.834, 34.896
86, 834.666, 3.53734, 453.66569, 73.23012, 7.896, 368852.068, 369051.522, 33.87
87, 831.288, 3.41701, 460.5343, 73.41793, 7.77, 366664.85, 372062.816, 32.772
88, 827.546, 3.32008, 457.15186, 73.8856, 7.754, 364445.766, 375040.488, 31.934
89, 823.79, 3.19533, 454.15282, 73.80029, 7.76707, 362182.568, 377980.404, 30.964
90, 820.028, 3.12685, 461.79851, 73.54539, 7.784, 359844.788, 380999.754, 29.9
91, 816.266, 3.06397, 462.76966, 73.52105, 7.58517, 357595.11, 383885.922, 28.966
92, 812.41, 2.95896, 455.10949, 73.70088, 7.462, 355297.936, 386738.284, 28.1
93, 808.768, 2.72867, 469.52686, 73.46285, 7.298, 353009.006, 389503.872, 26.938
94, 804.852, 2.7744, 464.81626, 73.59125, 7.404, 350712.7, 392295.506, 26.008
95, 800.824, 2.73392, 459.04298, 73.8242, 7.278, 348417.728, 395025.798, 25.224
96, 796.696, 2.56559, 472.75775, 73.80762, 7.368, 346064.12, 397813.254, 24.37
97, 792.666, 2.53286, 464.31881, 74.1507, 7.228, 343677.994, 400509.586, 23.33
98, 788.638, 2.64159, 465.66164, 73.53147, 7.05611, 341452.77, 403142.942, 22.704
99, 784.344, 2.41501, 465.26508, 74.06385, 7.10621, 339116.67, 405798.466, 22.094
100, 780.092, 2.34411, 460.09852, 73.58779, 7.116, 336727.19, 408425.274, 21.26
101, 775.97, 2.35681, 464.64143, 74.31297, 6.938, 334379.934, 411004.826, 20.452
102, 771.66, 2.28472, 465.04559, 73.61002, 6.972, 332017.074, 413584.57, 19.764
103, 767.318, 2.19668, 464.94067, 73.65081, 6.75, 329686.25, 416069.924, 19.21
104, 762.93, 2.19204, 465.81197, 73.71216, 6.828, 327360.556, 418562.192, 18.642
105, 758.328, 2.18966, 462.31721, 73.73601, 7.008, 324952.282, 421094.294, 18.014
106, 753.86, 2.05432, 450.12019, 74.14686, 6.79158, 322542.832, 423548.342, 17.368
107, 749.182, 2.10294, 467.36597, 74.1409, 6.758, 320178.876, 426010.548, 17.004
108, 744.67, 2.14861, 460.14068, 73.63057, 6.808, 317775.018, 428494.826, 16.414
109, 740.294, 1.98762, 464.50809, 74.10456, 6.54819, 315464.692, 430842.978, 15.874
110, 735.886, 1.88512, 467.45152, 73.59111, 6.44489, 313089.742, 433184.71, 15.294
111, 731.316, 1.94416, 462.79373, 73.74612, 6.54326, 310774.666, 435493.304, 14.892
112, 726.676, 1.8435, 460.43165, 73.45937, 6.52, 308391.304, 437808.618, 14.402
113, 722.132, 1.84697, 465.0, 73.45161, 6.33066, 306137.712, 439994.436, 14.028
114, 717.736, 1.76658, 470.72072, 74.11324, 6.168, 303899.938, 442138.948, 13.588
115, 712.966, 1.8453, 467.06587, 73.89744, 6.516, 301502.916, 444451.712, 13.178
116, 708.454, 1.77745, 473.28881, 73.62257, 6.108, 299234.854, 446567.232, 12.78
117, 703.936, 1.63429, 476.3986, 74.20734, 6.1984, 296917.942, 448710.112, 12.256
118, 699.04, 1.81341, 463.82637, 73.32582, 6.512, 294490.058, 451006.154, 11.884
119, 694.648, 1.61424, 469.66912, 73.66732, 5.99799, 292233.074, 453049.952, 11.402
120, 690.134, 1.66279, 472.9021, 74.01479, 5.88, 290026.956, 455070.336, 11.18
121, 685.498, 1.61963, 460.22727, 73.25926, 6.15431, 287688.714, 457176.912, 10.73
122, 680.908, 1.59936, 466.93387, 73.74678, 5.93387, 285440.948, 459166.764, 10.396
