time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 148.502, 571.15056, 3.81029, 0.0, 78304.286, 0.0, 148.502
2, 0.0, 70.144, 490.54802, 9.16202, 8.292, 106323.372, 4751.008, 211.354
3, 0.0, 68.124, 486.34842, 12.3966, 6.9519, 135153.942, 8275.97, 272.54
4, 0.0, 65.952, 484.73132, 15.55785, 8.19, 162190.836, 12389.484, 330.302
5, 0.0, 63.736, 482.03527, 18.58604, 9.68136, 187192.748, 17208.53, 384.376
6, 0.0, 61.806, 479.71071, 21.58282, 11.016, 210431.45, 22635.27, 435.166
7, 0.0, 60.116, 477.8262, 24.47366, 12.038, 232163.646, 28573.448, 483.244
8, 0.0, 57.926, 475.69313, 27.1845, 13.238, 252116.234, 35087.356, 527.932
9, 0.0, 55.626, 473.35778, 29.79359, 14.428, 270347.052, 42081.648, 569.13
10, 0.0, 53.746, 472.33282, 32.27826, 15.254, 287079.97, 49621.504, 607.622
11, 115.862, 52.034, 468.86651, 34.65516, 13.422, 303422.222, 55911.698, 530.372
12, 166.872, 50.746, 468.60836, 36.95273, 16.836, 317443.78, 63872.648, 513.272
13, 216.456, 48.528, 465.6487, 39.09475, 16.012, 330738.578, 71328.486, 496.204
14, 263.318, 47.834, 465.00397, 41.19534, 16.458, 343389.216, 79042.018, 480.718
15, 308.136, 46.322, 464.53089, 43.25797, 17.062, 355164.08, 86892.836, 465.16
16, 350.654, 43.964, 462.44655, 45.26413, 16.988, 365816.432, 94697.59, 449.618
17, 390.726, 42.922, 460.81264, 47.14202, 17.428, 375690.12, 102734.766, 435.04
18, 428.71, 41.35, 460.43531, 48.895, 17.866, 384741.346, 110871.15, 420.54
19, 464.548, 40.618, 460.58398, 50.67607, 18.122, 393397.034, 119056.48, 407.198
20, 498.07, 38.52, 458.30737, 52.32565, 18.464, 400893.93, 127398.918, 393.732
21, 529.482, 37.35, 458.95582, 53.91891, 18.962, 407751.804, 135877.014, 380.708
22, 559.718, 36.164, 457.27796, 55.46986, 18.752, 414054.182, 144306.21, 367.884
23, 587.494, 35.32, 456.62514, 56.83774, 18.81, 419970.798, 152705.96, 356.618
24, 614.314, 33.812, 456.40601, 58.31085, 19.426, 424995.782, 161344.604, 344.184
25, 639.898, 32.566, 456.73402, 59.67756, 19.306, 429495.734, 169956.9, 331.86
26, 662.962, 31.83, 456.23626, 61.05929, 19.036, 433865.458, 178325.31, 321.59
27, 684.656, 30.452, 453.92749, 62.26904, 19.276, 437460.854, 186812.196, 311.072
28, 704.836, 29.606, 453.25272, 63.50741, 19.7, 440577.228, 195385.018, 300.798
29, 724.266, 29.544, 453.76388, 64.71132, 19.342, 443828.678, 203770.326, 291.57
30, 741.506, 27.884, 453.59346, 65.83397, 19.896, 446134.028, 212406.566, 282.318
31, 757.43, 27.104, 451.63076, 66.74643, 19.762, 448147.934, 220932.796, 273.736
32, 772.558, 26.038, 451.76281, 67.69217, 19.75, 449738.004, 229427.56, 264.896
33, 786.926, 25.112, 453.76712, 68.76551, 19.7, 451026.874, 237862.634, 255.94
34, 799.988, 24.608, 454.40507, 69.66062, 19.596, 452185.434, 246203.322, 247.89
35, 811.82, 23.53, 453.46366, 70.61443, 19.324, 453014.868, 254371.506, 240.264
36, 823.042, 22.716, 451.0037, 71.56476, 19.528, 453369.988, 262613.61, 232.23
37, 832.774, 22.068, 450.92442, 72.32841, 19.506, 453524.402, 270772.586, 225.06
38, 841.654, 21.474, 454.64282, 73.0842, 19.762, 453404.288, 279025.106, 217.892
39, 850.224, 20.596, 454.99126, 74.01654, 20.104, 452759.502, 287448.138, 209.814
40, 857.546, 20.222, 452.4775, 74.79956, 19.622, 452136.892, 295600.452, 203.092
41, 863.834, 19.512, 452.08077, 75.35211, 19.654, 451192.258, 303771.898, 196.662
42, 869.484, 18.386, 452.1375, 76.13882, 19.584, 449860.782, 311837.132, 189.814
43, 874.464, 17.894, 450.31854, 76.74696, 19.18, 448470.838, 319700.674, 183.548
44, 878.666, 17.446, 452.25267, 77.41394, 19.332, 446890.32, 327590.12, 177.46
45, 882.32, 16.716, 455.79086, 77.94776, 18.97, 445221.41, 335298.158, 171.552
46, 885.28, 16.3, 457.30061, 78.60585, 19.046, 443420.9, 342964.764, 165.846
47, 887.66, 15.77, 451.55358, 79.29855, 18.814, 441429.882, 350496.498, 160.422
48, 889.622, 15.104, 452.19809, 79.66354, 18.75, 439217.946, 357972.47, 154.814
49, 890.918, 14.69, 454.52689, 79.93964, 18.536, 436947.04, 365352.198, 149.672
50, 891.672, 14.312, 453.11627, 80.41419, 18.762, 434420.9, 372804.502, 144.468
51, 891.838, 13.746, 454.60498, 81.01552, 18.448, 431863.792, 380043.578, 139.6
52, 891.684, 13.218, 455.74217, 81.47527, 17.808, 429293.556, 387061.218, 135.164
53, 890.84, 13.002, 449.00784, 81.91624, 18.22, 426449.606, 394180.932, 130.79
54, 889.348, 12.4, 454.27419, 82.01686, 18.364, 423341.968, 401375.586, 126.318
55, 887.544, 11.946, 452.28528, 82.32075, 17.592, 420403.126, 408145.36, 122.476
56, 885.056, 11.544, 456.77408, 82.75251, 18.066, 417131.546, 415143.728, 118.442
57, 882.61, 11.18, 456.08229, 83.19945, 17.82, 413848.694, 421967.776, 114.248
58, 879.53, 10.842, 456.65006, 83.60614, 17.686, 410487.554, 428720.91, 110.484
59, 876.224, 10.612, 453.35469, 83.81314, 17.61, 407057.95, 435395.782, 106.792
60, 872.808, 10.172, 455.76091, 84.11756, 17.276, 403596.45, 441920.928, 103.104
61, 868.888, 9.672, 457.19603, 84.2569, 17.006, 400050.27, 448319.642, 99.69
62, 864.674, 9.22, 455.74837, 84.68444, 17.056, 396312.832, 454699.786, 96.068
63, 860.56, 9.268, 459.1066, 84.85029, 16.52, 392855.98, 460821.202, 92.93
64, 855.976, 8.776, 456.13036, 85.0632, 16.486, 389202.142, 466896.358, 89.804
65, 851.012, 8.5491, 461.7909, 85.43959, 16.388, 385578.42, 472868.226, 86.912
66, 845.778, 7.972, 453.33668, 85.48174, 16.352, 381643.578, 478844.972, 83.766
67, 840.436, 8.10621, 458.96168, 85.75761, 16.094, 377946.136, 484658.766, 81.104
68, 834.836, 7.674, 462.86161, 85.99944, 16.128, 374051.95, 490514.878, 78.25
69, 829.106, 7.504, 458.95522, 85.80197, 15.968, 370121.49, 496299.512, 75.516
70, 823.406, 7.37675, 459.79353, 86.25554, 15.48, 366400.784, 501791.986, 73.098
71, 817.078, 7.05622, 461.58224, 86.33785, 15.562, 362525.148, 507299.614, 70.892
72, 810.706, 6.724, 460.73766, 86.57553, 15.262, 358646.892, 512661.248, 68.726
73, 804.454, 6.624, 461.95652, 86.30065, 15.094, 354783.692, 517962.052, 66.508
74, 798.024, 6.61, 460.2118, 86.2883, 14.906, 351047.708, 523105.018, 64.642
75, 791.51, 5.95783, 461.40883, 86.56245, 14.832, 347023.93, 528246.696, 62.258
76, 784.416, 5.86345, 460.9589, 86.75149, 14.938, 342930.22, 533408.566, 60.254
