time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 1001.0, 0.0, 0.0
1, 0.0, 20.912, 980.77659, 0.79469, 0.0, 19410.832, 0.0, 20.912
2, 0.0, 9.722, 581.67044, 1.9496, 2.058, 23084.644, 1743.282, 29.576
3, 0.0, 9.452, 543.90605, 2.51196, 1.53106, 27378.4, 2534.704, 38.042
4, 0.0, 9.456, 529.61083, 2.95148, 1.62857, 31573.642, 3291.528, 46.358
5, 0.0, 8.942, 517.78126, 3.45119, 1.86162, 35161.884, 4264.782, 53.874
6, 0.0, 8.936, 508.95255, 3.90413, 1.91304, 38683.208, 5207.978, 61.314
7, 0.0, 8.246, 503.63813, 4.34626, 2.0439, 41634.954, 6312.912, 67.884
8, 0.0, 7.962, 502.51193, 4.74731, 2.27751, 44393.978, 7443.23, 73.942
9, 0.0, 7.94589, 500.75662, 5.08335, 2.38426, 46999.898, 8683.214, 79.812
10, 0.0, 7.698, 498.57106, 5.50182, 2.39545, 49490.494, 9889.484, 85.402
11, 16.262, 7.55, 498.80795, 5.77084, 2.21513, 51694.254, 10722.116, 74.816
12, 20.844, 7.076, 498.58677, 6.0788, 4.75356, 51185.41, 13995.512, 72.642
13, 25.752, 6.7976, 496.02005, 6.37682, 4.35628, 51392.948, 16400.888, 70.214
14, 30.052, 6.634, 497.2867, 6.57745, 4.84318, 51410.976, 18955.826, 67.792
15, 33.276, 6.482, 497.84017, 6.80911, 5.32394, 51103.402, 21790.686, 65.758
16, 36.434, 6.27255, 499.04153, 7.11108, 5.3996, 50878.052, 24460.742, 63.482
17, 39.004, 6.268, 499.84046, 7.34536, 5.408, 50665.674, 27147.852, 61.772
18, 40.996, 5.92771, 497.96748, 7.56122, 5.80561, 50151.794, 29963.64, 59.89
19, 42.826, 5.576, 498.92396, 7.75917, 5.83936, 49642.076, 32631.318, 57.82
20, 44.384, 5.70683, 496.12949, 8.09716, 6.00601, 49071.862, 35410.986, 55.952
21, 45.568, 5.25403, 499.80814, 8.23378, 6.216, 48187.108, 38252.882, 53.764
22, 46.188, 5.23139, 499.03846, 8.2948, 6.2004, 47417.888, 40926.016, 52.156
23, 46.648, 4.80282, 497.69585, 8.49242, 6.144, 46410.684, 43583.402, 50.326
24, 46.74, 4.97189, 500.0, 8.73627, 6.254, 45490.492, 46223.082, 48.932
25, 46.836, 4.71944, 500.21231, 8.91129, 6.016, 44612.934, 48675.34, 47.53
26, 46.878, 4.54379, 502.24115, 9.05667, 5.97, 43710.726, 51022.906, 45.98
27, 46.832, 4.43522, 502.28206, 9.19173, 6.17137, 42697.656, 53426.65, 44.286
28, 46.718, 4.14868, 501.47275, 9.39745, 5.85111, 41645.408, 55707.068, 42.658
29, 46.288, 3.92698, 506.45661, 9.42427, 5.83968, 40592.98, 57897.694, 41.132
30, 45.952, 4.00204, 508.14249, 9.55433, 5.77, 39571.45, 60092.928, 39.628
31, 45.134, 3.86066, 509.28875, 9.8223, 5.82966, 38559.994, 62194.63, 38.396
