time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 12.882, 836.0503, 0.82461, 0.0, 14180.652, 0.0, 12.882
2, 0.0, 6.2, 741.45161, 1.44224, 1.6, 13901.894, 4726.918, 18.482
3, 0.0, 6.11022, 635.78222, 1.84137, 1.3125, 17368.344, 5117.484, 24.034
4, 0.0, 5.85542, 587.7915, 2.22637, 1.41818, 20207.394, 5696.606, 29.086
5, 0.0, 5.576, 569.76327, 2.5395, 1.44444, 22846.118, 6224.16, 33.856
6, 0.0, 5.41884, 547.52219, 2.85241, 1.51393, 25162.432, 6857.19, 38.286
7, 0.0, 5.04217, 537.43528, 3.14672, 1.59554, 27192.358, 7513.042, 42.306
8, 0.0, 5.09438, 527.98581, 3.42068, 1.75, 29099.442, 8270.18, 46.134
9, 0.0, 4.90707, 525.73075, 3.63626, 1.68852, 30919.03, 8988.346, 49.756
10, 0.0, 4.79518, 523.24121, 3.87395, 1.85638, 32552.68, 9836.008, 53.136
11, 9.92638, 4.60282, 513.57862, 4.05714, 1.75989, 34153.716, 10525.138, 46.748
12, 14.784, 4.35425, 510.46025, 4.35109, 1.74124, 35553.822, 11259.826, 44.682
13, 19.316, 4.42254, 509.55414, 4.55536, 1.7515, 37061.038, 11927.216, 43.376
14, 23.732, 4.24898, 508.40538, 4.77185, 1.81534, 38392.716, 12646.022, 41.846
15, 27.75, 3.94694, 509.8242, 4.87221, 1.71111, 39626.538, 13316.014, 40.464
16, 31.694, 3.86354, 503.69004, 5.2292, 1.75793, 40798.908, 13983.956, 39.094
17, 35.3, 3.68024, 503.32042, 5.25124, 1.80845, 41884.302, 14645.76, 37.818
18, 38.994, 3.5942, 503.1682, 5.42873, 1.79539, 42906.938, 15297.056, 36.35
19, 42.49, 3.64092, 503.15367, 5.71852, 1.73056, 43930.932, 15953.39, 35.096
20, 45.918, 3.34362, 500.92308, 5.89251, 1.73011, 44849.436, 16587.428, 33.7
21, 48.97, 3.57026, 500.28523, 5.98005, 1.69972, 45859.916, 17252.284, 32.92
22, 51.86, 3.31646, 499.0458, 6.05226, 1.76353, 46701.902, 17900.8, 31.936
23, 54.858, 3.31568, 503.19489, 6.21079, 1.70968, 47596.386, 18500.028, 30.902
24, 57.528, 3.14681, 500.67613, 6.27144, 1.83014, 48310.882, 19184.088, 29.854
25, 60.006, 3.07643, 498.27467, 6.60942, 1.8, 48980.076, 19874.658, 28.96
26, 62.386, 2.96603, 499.64209, 6.62822, 1.82044, 49619.768, 20546.128, 28.056
27, 64.578, 2.81013, 500.37538, 6.8162, 1.78689, 50198.998, 21213.798, 27.22
28, 66.792, 2.80942, 495.04573, 7.00077, 1.65282, 50850.352, 21773.598, 26.516
29, 69.008, 2.64502, 498.7725, 6.97375, 1.68857, 51385.42, 22369.618, 25.562
30, 71.042, 2.52863, 498.69338, 7.04279, 1.59944, 51868.082, 22943.032, 24.682
31, 73.106, 2.62227, 495.42048, 7.0437, 1.71955, 52374.058, 23536.144, 23.806
32, 75.026, 2.55556, 498.29497, 7.39607, 1.64327, 52884.91, 24102.638, 23.108
33, 76.81, 2.48758, 497.7314, 7.65725, 1.68524, 53273.646, 24718.67, 22.318
34, 78.488, 2.48736, 498.15157, 7.43599, 1.76471, 53650.056, 25327.494, 21.604
35, 80.104, 2.25282, 499.499, 7.61284, 1.66572, 53969.724, 25911.098, 20.808
36, 81.616, 2.40189, 496.06299, 7.82639, 1.67449, 54312.048, 26481.742, 20.186
37, 82.962, 2.29762, 499.48187, 7.84232, 1.75714, 54550.048, 27112.61, 19.54
38, 84.276, 2.16585, 494.93243, 8.03868, 1.77429, 54706.23, 27740.392, 18.76
39, 85.466, 2.28501, 495.69892, 7.93818, 1.66382, 54949.766, 28322.024, 18.262
40, 86.556, 2.03186, 500.0, 8.04825, 1.64773, 55118.35, 28884.904, 17.67
41, 87.798, 1.94724, 496.77419, 8.17143, 1.67901, 55258.676, 29416.876, 16.89
42, 88.882, 2.05808, 497.54601, 8.12947, 1.62248, 55413.912, 29974.426, 16.31
43, 89.864, 1.89031, 496.62618, 8.24592, 1.7027, 55495.612, 30529.212, 15.676
44, 90.818, 1.93703, 494.79844, 8.41787, 1.69412, 55598.688, 31087.174, 15.108
45, 91.672, 1.87234, 497.86932, 8.34522, 1.61194, 55664.702, 31622.076, 14.582
46, 92.424, 1.82278, 497.22222, 8.46508, 1.68033, 55682.282, 32220.646, 14.04
47, 93.162, 1.8294, 494.97848, 8.43768, 1.67273, 55736.02, 32755.17, 13.592
48, 93.732, 1.80161, 495.53571, 8.57808, 1.71125, 55735.35, 33319.52, 13.24
49, 94.362, 1.72507, 490.625, 8.59395, 1.6597, 55715.604, 33865.732, 12.778
50, 94.8, 1.67778, 498.34437, 8.61628, 1.67164, 55681.712, 34398.864, 12.428
51, 95.214, 1.72394, 495.09804, 8.65677, 1.59706, 55665.81, 34917.364, 12.152
52, 95.668, 1.66761, 498.29642, 8.68718, 1.60976, 55650.106, 35414.346, 11.816
53, 95.98, 1.68997, 495.5036, 8.88929, 1.69643, 55548.86, 35963.12, 11.476
54, 96.372, 1.66877, 498.10964, 8.75712, 1.60303, 55481.73, 36453.51, 11.084
55, 96.66, 1.53274, 492.23301, 8.81262, 1.63303, 55370.918, 36967.286, 10.758
56, 97.034, 1.61639, 498.9858, 8.96545, 1.62701, 55288.796, 37436.264, 10.358
57, 97.358, 1.60066, 496.90722, 8.78423, 1.64198, 55178.698, 37922.518, 9.94
58, 97.676, 1.51645, 495.66161, 9.14004, 1.55828, 55053.696, 38398.812, 9.528
59, 97.85, 1.52548, 494.78079, 9.19831, 1.66871, 54908.33, 38912.644, 9.224
60, 97.962, 1.49329, 495.50562, 9.0839, 1.54464, 54764.27, 39391.366, 8.964
61, 98.036, 1.52303, 502.15983, 9.02581, 1.64134, 54612.194, 39901.614, 8.736
62, 98.146, 1.44074, 503.85604, 8.95918, 1.60127, 54432.276, 40367.346, 8.392
63, 98.19, 1.40636, 497.48744, 9.16919, 1.61656, 54214.43, 40875.294, 8.09
64, 98.136, 1.38849, 498.70466, 9.20519, 1.625, 53989.786, 41377.996, 7.824
65, 98.164, 1.43796, 498.73096, 9.45547, 1.56129, 53828.114, 41824.168, 7.616
66, 98.112, 1.43852, 497.151, 9.30659, 1.60828, 53609.712, 42283.984, 7.36
67, 98.082, 1.31405, 493.71069, 9.42357, 1.58689, 53370.386, 42730.016, 7.07214
68, 98.02, 1.44541, 498.48943, 9.2697, 1.55414, 53139.64, 43183.264, 6.806
69, 97.884, 1.31579, 496.66667, 9.15436, 1.60429, 52849.746, 43663.658, 6.496
70, 97.776, 1.35965, 500.0, 9.42903, 1.57643, 52607.568, 44106.684, 6.234
71, 97.698, 1.34956, 500.0, 9.57049, 1.54232, 52359.77, 44551.058, 5.938
72, 97.422, 1.35747, 496.66667, 9.42953, 1.63455, 52087.194, 45013.234, 5.84168
73, 97.136, 1.34906, 500.0, 9.5, 1.54545, 51809.618, 45467.838, 5.69076
74, 96.862, 1.33184, 498.3165, 9.54392, 1.54037, 51548.652, 45916.366, 5.56627
75, 96.668, 1.3125, 498.29932, 9.48464, 1.5623, 51291.644, 46356.512, 5.36948
76, 96.366, 1.36139, 500.0, 9.32364, 1.5627, 51015.922, 46797.414, 5.27016
77, 95.988, 1.23316, 495.79832, 9.83475, 1.57188, 50672.038, 47267.858, 5.11694
78, 95.64, 1.2766, 497.91667, 9.24686, 1.5873, 50358.534, 47710.904, 4.94355
79, 95.326, 1.26178, 504.14938, 9.41975, 1.51827, 50092.72, 48109.644, 4.80522
80, 94.992, 1.21858, 500.0, 9.55157, 1.56209, 49788.764, 48526.218, 4.61
81, 94.69, 1.27528, 495.59471, 9.47556, 1.47766, 49535.974, 48893.6, 4.5332
82, 94.32, 1.19318, 497.61905, 9.5933, 1.46965, 49230.406, 49297.498, 4.41129
83, 93.978, 1.22981, 494.94949, 9.61224, 1.48097, 48945.466, 49668.982, 4.30972
84, 93.69, 1.20779, 502.68817, 9.55615, 1.47518, 48664.914, 50025.53, 4.1609
85, 93.37, 1.16667, 494.70899, 9.57219, 1.47667, 48358.412, 50408.932, 3.98569
86, 92.966, 1.18902, 487.17949, 9.81053, 1.57679, 48046.728, 50800.046, 3.86066
87, 92.532, 1.23881, 500.0, 9.24699, 1.50492, 47705.978, 51196.512, 3.72784
88, 92.218, 1.22047, 493.54839, 9.37908, 1.48077, 47412.08, 51532.66, 3.62213
89, 91.846, 1.17778, 496.85535, 9.74051, 1.46392, 47088.28, 51903.428, 3.48211
90, 91.366, 1.13287, 496.91358, 10.24224, 1.46104, 46756.306, 52285.156, 3.35983
91, 90.988, 1.225, 513.60544, 9.71523, 1.48496, 46467.368, 52614.618, 3.26371
92, 90.524, 1.10169, 488.46154, 9.30709, 1.4965, 46115.5, 52983.042, 3.10482
93, 90.086, 1.10606, 496.57534, 9.6, 1.50923, 45808.288, 53323.76, 3.02526
94, 89.63, 1.15873, 503.42466, 9.63946, 1.45683, 45507.29, 53661.326, 2.92917
95, 89.15, 1.13514, 496.03175, 9.56, 1.45791, 45160.274, 54022.116, 2.84289
96, 88.716, 1.10744, 507.46269, 9.93382, 1.44689, 44847.146, 54360.738, 2.77302
97, 88.302, 1.13559, 496.26866, 10.23308, 1.45, 44555.606, 54672.722, 2.71336
98, 87.85, 1.14286, 500.0, 9.85833, 1.45455, 44253.8, 54983.44, 2.68352
99, 87.358, 1.05926, 503.4965, 9.40278, 1.44891, 43955.436, 55315.246, 2.63696
100, 86.852, 1.11215, 500.0, 8.90756, 1.46207, 43620.712, 55657.654, 2.56291
101, 86.326, 1.11429, 500.0, 9.80342, 1.39655, 43289.298, 55994.398, 2.48578
102, 85.744, 1.14286, 505.68182, 9.47191, 1.4657, 42928.628, 56333.942, 2.44273
103, 85.196, 1.07955, 494.73684, 9.17021, 1.43158, 42570.312, 56675.43, 2.38307
104, 84.704, 1.1, 489.89899, 9.95876, 1.43704, 42236.916, 56995.068, 2.29241
105, 84.15, 1.1215, 504.16667, 9.45455, 1.48148, 41919.754, 57322.222, 2.29083
106, 83.678, 1.05195, 506.17284, 9.9878, 1.37736, 41607.422, 57604.972, 2.22831
107, 83.218, 1.10843, 494.56522, 9.53846, 1.48971, 41307.848, 57884.95, 2.19718
108, 82.684, 1.07895, 500.0, 9.4878, 1.45594, 40979.072, 58185.72, 2.18599
109, 82.288, 1.15116, 500.0, 9.83838, 1.40084, 40723.192, 58428.864, 2.14815
110, 81.814, 1.14286, 493.05556, 9.16901, 1.36863, 40412.068, 58698.968, 2.06983
111, 81.264, 1.14493, 500.0, 9.40506, 1.41328, 40065.46, 59013.75, 2.03299
112, 80.7, 1.07143, 520.0, 8.9359, 1.42248, 39742.492, 59303.922, 1.99244
113, 80.218, 1.05797, 493.15068, 9.40278, 1.36948, 39435.538, 59570.92, 1.96907
114, 79.768, 1.09231, 500.0, 10.01408, 1.36555, 39130.332, 59835.542, 1.90909
115, 79.266, 1.06757, 506.32911, 9.0375, 1.3321, 38828.344, 60106.0, 1.89757
116, 78.824, 1.09722, 550.63291, 8.89655, 1.27778, 38585.738, 60324.244, 1.87003
117, 78.262, 1.04839, 507.69231, 9.33333, 1.42085, 38251.914, 60613.578, 1.82133
118, 77.828, 1.08451, 519.48052, 9.775, 1.29787, 37991.872, 60842.484, 1.85124
119, 77.368, 1.05556, 493.42105, 9.54667, 1.36287, 37707.488, 61091.03, 1.79452
120, 76.886, 1.07547, 508.77193, 9.36207, 1.3102, 37398.42, 61347.74, 1.76536
121, 76.376, 1.03279, 500.0, 9.22222, 1.35341, 37092.776, 61605.49, 1.73164
122, 75.834, 1.01754, 508.62069, 9.89831, 1.38, 36788.364, 61857.548, 1.70571
123, 75.308, 1.06383, 520.0, 9.25, 1.36475, 36481.542, 62105.962, 1.67733
124, 74.804, 1.04082, 519.60784, 9.43396, 1.38362, 36187.476, 62342.512, 1.625
125, 74.27, 1.05556, 500.0, 9.75439, 1.35714, 35887.386, 62589.286, 1.65443
126, 73.728, 1.10909, 532.78689, 10.06154, 1.376, 35579.468, 62851.006, 1.66352
127, 73.206, 1.04444, 500.0, 9.65957, 1.40444, 35286.134, 63080.486, 1.61801
128, 72.688, 1.02273, 511.11111, 10.41304, 1.37705, 34977.652, 63324.78, 1.55238
129, 72.184, 1.08511, 500.0, 9.52941, 1.3251, 34677.866, 63564.936, 1.52597
130, 71.642, 1.07143, 533.33333, 9.9375, 1.3361, 34361.546, 63802.98, 1.50167
131, 71.172, 1.11429, 500.0, 9.53846, 1.25541, 34087.668, 64004.488, 1.46284
132, 70.596, 1.02222, 500.0, 9.76087, 1.33721, 33769.206, 64258.312, 1.42088
133, 70.056, 1.0, 511.62791, 9.65909, 1.34016, 33468.522, 64493.03, 1.45714
134, 69.532, 1.02941, 500.0, 8.94286, 1.32189, 33175.76, 64710.058, 1.45956
135, 68.99, 1.11364, 530.61224, 9.51923, 1.35246, 32869.396, 64958.186, 1.43866
136, 68.486, 1.0, 500.0, 9.34483, 1.35714, 32569.026, 65177.39, 1.38403
137, 68.008, 1.02778, 513.51351, 8.92105, 1.24561, 32299.992, 65374.554, 1.4127
138, 67.478, 1.03448, 533.33333, 9.1875, 1.34199, 32008.158, 65588.306, 1.36948
139, 67.06, 1.0, 514.28571, 9.66667, 1.27723, 31768.916, 65752.89, 1.35685
140, 66.52, 1.03125, 530.30303, 9.31429, 1.4619, 31482.932, 65963.218, 1.35146
141, 66.026, 1.02632, 525.64103, 9.2439, 1.25652, 31216.394, 66160.608, 1.31687
142, 65.606, 1.04, 519.23077, 9.51852, 1.2266, 30973.348, 66320.432, 1.31197
143, 65.144, 1.0, 500.0, 10.5, 1.2783, 30718.748, 66492.65, 1.31111
144, 64.626, 1.0, 500.0, 9.46875, 1.28384, 30450.046, 66683.962, 1.27511
145, 64.16, 1.0, 534.48276, 8.41935, 1.33333, 30185.56, 66869.548, 1.26941
146, 63.674, 1.05263, 500.0, 8.45, 1.33495, 29912.212, 67052.7, 1.29126
147, 63.208, 1.0, 500.0, 9.85, 1.29126, 29649.08, 67226.432, 1.29744
148, 62.736, 1.0, 500.0, 10.56522, 1.24186, 29393.8, 67394.768, 1.31016
149, 62.32, 1.04, 538.46154, 10.14286, 1.20202, 29164.058, 67543.716, 1.32418
150, 61.846, 1.05263, 525.0, 9.42857, 1.2823, 28896.518, 67723.034, 1.29944
