time, seeders, joined, request_count, response_size, left, awareness, bad_data, leechers
0, 0.0, 0.0, 0.0, 0.0, 0.0, 5001.0, 0.0, 0.0
1, 0.0, 12.862, 1158.76225, 1.82246, 0.0, 18021.902, 0.0, 12.862
2, 0.0, 6.07615, 1050.79156, 3.51318, 1.626, 19223.62, 4948.844, 18.3
3, 0.0, 6.00401, 1009.01202, 4.67913, 1.31651, 24606.358, 5570.458, 23.718
4, 0.0, 5.864, 1001.70532, 5.71604, 1.38735, 29717.282, 6301.014, 28.88
5, 0.0, 5.66129, 995.01425, 6.72763, 1.46763, 34419.034, 7150.76, 33.68
6, 0.0, 5.34269, 995.12378, 7.70147, 1.50476, 38705.184, 8129.668, 38.064
7, 0.0, 5.21371, 996.51972, 8.78929, 1.613, 42771.348, 9169.788, 42.194
8, 0.0, 5.01811, 993.98557, 9.49415, 1.70238, 46524.052, 10323.356, 46.038
9, 0.0, 5.00201, 993.17543, 10.52142, 1.78652, 50150.508, 11586.502, 49.748
10, 0.0, 4.81489, 989.55286, 11.38218, 1.86684, 53383.774, 13026.594, 53.104
11, 9.83299, 4.40241, 991.77331, 12.29447, 1.72754, 56383.446, 14188.642, 46.632
12, 14.478, 4.45657, 991.38713, 13.02332, 1.83033, 59178.942, 15567.046, 44.798
13, 18.878, 4.14949, 990.2629, 13.54818, 1.83754, 61760.444, 16845.434, 43.194
14, 23.036, 4.06085, 991.00899, 14.37802, 1.87599, 64139.256, 18219.428, 41.618
15, 26.998, 4.02259, 985.19653, 14.96943, 1.93719, 66291.166, 19709.05, 40.032
16, 30.598, 3.82305, 986.00646, 15.68068, 1.95685, 68247.064, 21194.676, 38.606
17, 34.062, 3.80041, 981.77921, 16.39247, 1.84496, 70335.4, 22537.874, 37.446
18, 37.384, 3.89571, 986.87664, 16.84947, 2.0, 72417.24, 23978.254, 36.438
19, 40.714, 3.54021, 984.85731, 17.35364, 1.90863, 74145.25, 25394.25, 35.038
20, 43.712, 3.49485, 983.48083, 18.30294, 2.03581, 75719.864, 26911.574, 33.838
21, 46.418, 3.29938, 986.76749, 18.7433, 1.95641, 77167.472, 28347.118, 32.78
22, 48.994, 3.41164, 982.32785, 19.17742, 2.038, 78520.552, 29965.348, 31.77
23, 51.304, 3.3277, 984.75222, 19.71032, 2.01449, 79805.912, 31522.14, 30.94
24, 53.454, 3.12154, 976.0929, 20.40448, 2.08392, 80736.294, 33189.03, 29.93
25, 55.52, 2.89149, 982.33996, 20.6412, 2.11247, 81542.472, 34790.244, 28.854
26, 57.498, 3.01915, 980.97252, 21.4533, 1.94878, 82573.434, 36271.168, 28.116
27, 59.344, 2.9436, 983.05085, 21.41304, 2.20247, 83318.012, 37921.112, 27.2
28, 61.2, 2.87609, 984.12698, 21.96544, 2.08845, 84066.514, 39498.658, 26.29
29, 62.776, 2.76522, 981.13208, 22.47997, 2.07126, 84657.128, 41123.37, 25.514
30, 64.31, 2.77174, 981.96078, 22.92891, 2.13648, 85305.29, 42692.844, 24.808
31, 65.71, 2.50776, 983.20071, 23.18795, 2.05854, 85705.59, 44228.736, 23.982
32, 67.148, 2.45212, 984.55949, 23.73063, 2.02703, 86081.13, 45730.576, 23.096
33, 68.442, 2.43304, 986.23853, 24.15163, 2.1165, 86349.2, 47317.17, 22.238
34, 69.6, 2.40632, 985.92871, 24.31779, 2.13547, 86587.622, 48884.548, 21.478
35, 70.562, 2.29138, 977.61953, 24.37565, 2.09976, 86660.006, 50436.812, 20.756
36, 71.446, 2.4, 976.59176, 24.77181, 2.18854, 86793.234, 52086.834, 20.174
37, 72.294, 2.1165, 981.65138, 25.26752, 2.09512, 86692.55, 53597.642, 19.352
38, 73.122, 2.19277, 982.41758, 25.25727, 2.0799, 86653.778, 55118.4, 18.626
39, 73.844, 2.14183, 975.30864, 25.60529, 2.14734, 86491.104, 56711.31, 17.908
40, 74.522, 2.18676, 982.7027, 25.91639, 2.01937, 86523.024, 58183.756, 17.412
41, 75.012, 2.02123, 977.82964, 26.17542, 1.98834, 86408.1, 59659.45, 16.93
42, 75.506, 1.97468, 980.76923, 26.65359, 1.98515, 86237.412, 61043.022, 16.392
43, 75.902, 1.99261, 983.93078, 26.84548, 1.99031, 86086.424, 62465.796, 15.97
44, 76.318, 1.86486, 981.55468, 26.91141, 2.05316, 85863.24, 63859.51, 15.45
45, 76.596, 1.90932, 976.2533, 27.01892, 2.02978, 85617.156, 65262.936, 15.052
46, 76.912, 1.85333, 978.41727, 27.40735, 2.01675, 85201.188, 66718.604, 14.44
47, 77.024, 1.91053, 973.8292, 27.69448, 2.07407, 84860.218, 68147.056, 14.1
48, 77.114, 1.79656, 974.48166, 27.89689, 2.11491, 84276.298, 69628.018, 13.534
49, 77.238, 1.80392, 990.68323, 27.97022, 1.99005, 83872.802, 70979.626, 13.098
50, 77.308, 1.7962, 983.35855, 28.11692, 2.05665, 83427.04, 72394.73, 12.68
51, 77.266, 1.69277, 985.76512, 28.59206, 2.09824, 82811.262, 73789.648, 12.18
52, 77.172, 1.65839, 986.89139, 28.0797, 1.96126, 82182.984, 75140.598, 11.722
53, 77.172, 1.58601, 974.26471, 28.66415, 1.96658, 81650.72, 76398.614, 11.28
54, 77.022, 1.65165, 985.45455, 28.67712, 1.98987, 81096.646, 77699.596, 10.958
55, 76.822, 1.62651, 968.51852, 28.66157, 1.9689, 80441.458, 79065.088, 10.592
56, 76.644, 1.59063, 980.35363, 28.83166, 1.92677, 79851.548, 80316.472, 10.262
57, 76.614, 1.62575, 988.95028, 29.07449, 1.86667, 79454.96, 81445.02, 9.978
58, 76.366, 1.59333, 966.5272, 29.05195, 1.90078, 78885.522, 82597.906, 9.726
59, 76.07, 1.5802, 987.04104, 29.43764, 1.95052, 78259.434, 83796.418, 9.45
60, 75.842, 1.47099, 981.43852, 29.1844, 1.88432, 77587.588, 84973.536, 9.074
61, 75.416, 1.47348, 976.86375, 28.69211, 1.89242, 76777.256, 86203.062, 8.73
62, 75.034, 1.48958, 990.67599, 28.70118, 1.82474, 76160.404, 87326.086, 8.554
63, 74.708, 1.40989, 969.92481, 29.63824, 1.82713, 75517.03, 88395.956, 8.304
64, 74.314, 1.34118, 985.38012, 29.5727, 1.92651, 74691.014, 89553.216, 7.914
65, 74.012, 1.36604, 986.18785, 29.42857, 1.80593, 74021.948, 90589.086, 7.6
66, 73.576, 1.41365, 991.47727, 29.60172, 1.88947, 73237.242, 91725.438, 7.31864
67, 73.182, 1.47325, 997.2067, 29.88235, 1.90786, 72512.64, 92815.954, 7.02004
68, 72.704, 1.36475, 963.96396, 30.35514, 1.83333, 71751.448, 93870.086, 6.77756
69, 72.214, 1.3451, 979.59184, 30.16071, 1.79265, 71029.398, 94914.472, 6.58717
70, 71.69, 1.35616, 993.26599, 30.04068, 1.83198, 70254.674, 95931.074, 6.37827
71, 71.084, 1.34703, 996.61017, 29.9932, 1.84, 69450.166, 96973.146, 6.19316
72, 70.606, 1.25225, 982.01439, 30.18681, 1.75467, 68658.03, 97959.894, 5.89759
73, 70.058, 1.28054, 982.33216, 30.27338, 1.85, 67871.084, 98951.28, 5.70161
74, 69.408, 1.30732, 992.53731, 30.56391, 1.80769, 67075.04, 99928.53, 5.59312
75, 68.71, 1.25822, 977.61194, 30.5687, 1.87062, 66212.684, 100962.828, 5.40443
76, 68.122, 1.2987, 983.33333, 30.84068, 1.72032, 65488.092, 101924.086, 5.29839
77, 67.594, 1.24365, 983.67347, 30.25726, 1.72191, 64724.634, 102817.136, 5.07847
78, 66.998, 1.20745, 991.18943, 30.24, 1.69468, 63961.402, 103678.67, 4.91751
79, 66.378, 1.28125, 995.93496, 30.58776, 1.74728, 63170.416, 104608.092, 4.77126
80, 65.712, 1.28333, 991.34199, 30.47598, 1.72283, 62364.488, 105518.912, 4.6202
81, 65.022, 1.33742, 981.65138, 30.46262, 1.71781, 61554.69, 106404.056, 4.5
82, 64.392, 1.18072, 979.59184, 30.35417, 1.71387, 60757.888, 107231.082, 4.32525
83, 63.81, 1.20915, 978.37838, 30.60221, 1.6462, 59986.154, 108010.546, 4.1748
84, 63.104, 1.16279, 970.0, 30.56701, 1.73714, 59176.486, 108853.394, 4.08793
85, 62.458, 1.25466, 990.09901, 29.96, 1.67251, 58441.878, 109632.666, 3.97556
86, 61.934, 1.16197, 993.93939, 30.7561, 1.63174, 57683.6, 110363.698, 3.7582
87, 61.278, 1.19136, 984.45596, 30.28947, 1.66272, 56948.638, 111121.494, 3.65918
88, 60.684, 1.19863, 977.14286, 30.65497, 1.66559, 56253.298, 111803.226, 3.57992
89, 60.102, 1.18056, 994.11765, 30.55621, 1.59701, 55525.962, 112513.202, 3.44948
90, 59.488, 1.15493, 993.90244, 30.49693, 1.59877, 54829.17, 113179.962, 3.33197
91, 58.764, 1.18065, 989.07104, 30.98895, 1.69298, 54061.596, 113954.428, 3.24898
92, 58.088, 1.17931, 994.15205, 30.48235, 1.55162, 53371.536, 114628.058, 3.21429
93, 57.416, 1.125, 992.59259, 30.85075, 1.61635, 52611.674, 115300.146, 3.16529
94, 56.822, 1.16981, 991.93548, 31.42276, 1.57929, 51901.654, 115900.202, 3.06485
95, 56.15, 1.12195, 963.76812, 29.64662, 1.57612, 51143.134, 116569.89, 2.95188
96, 55.466, 1.14815, 987.09677, 30.43791, 1.60502, 50453.45, 117210.976, 2.95137
97, 54.828, 1.15385, 977.77778, 30.68939, 1.57929, 49762.048, 117809.612, 2.86134
98, 54.126, 1.14141, 991.15044, 30.30357, 1.6, 48981.238, 118458.732, 2.7611
99, 53.476, 1.12, 982.14286, 30.53636, 1.6039, 48251.368, 119053.958, 2.64619
100, 52.83, 1.10619, 992.0, 30.64516, 1.53165, 47557.6, 119640.026, 2.61987
101, 52.288, 1.11009, 983.47107, 29.98319, 1.48185, 46915.226, 120162.554, 2.56319
102, 51.75, 1.13265, 1000.0, 29.72072, 1.45833, 46313.626, 120630.018, 2.53061
103, 51.122, 1.09804, 991.07143, 31.54054, 1.49835, 45670.048, 121139.972, 2.50115
104, 50.508, 1.09524, 978.26087, 30.72222, 1.55282, 45004.306, 121632.41, 2.42691
105, 49.874, 1.07527, 990.0, 31.0202, 1.48814, 44353.632, 122129.146, 2.37037
106, 49.314, 1.07865, 989.58333, 30.61053, 1.53763, 43713.03, 122605.838, 2.28471
107, 48.772, 1.17949, 1000.0, 29.58696, 1.49438, 43132.54, 123014.066, 2.1897
108, 48.132, 1.10127, 988.50575, 30.17442, 1.47586, 42496.012, 123468.49, 2.17102
109, 47.458, 1.05634, 1000.0, 29.72, 1.52901, 41785.748, 123976.184, 2.14146
110, 46.914, 1.05333, 1000.0, 30.02532, 1.46442, 41188.668, 124377.626, 2.03398
111, 46.358, 1.04, 987.17949, 30.0, 1.39649, 40575.706, 124792.424, 1.96059
112, 45.744, 1.10294, 1000.0, 30.08, 1.5036, 39931.554, 125233.93, 1.93384
113, 45.118, 1.09375, 985.71429, 30.5942, 1.56727, 39252.58, 125698.02, 1.83033
114, 44.564, 1.10606, 1013.69863, 31.06757, 1.41176, 38711.228, 126036.196, 1.80928
115, 44.004, 1.09231, 1000.0, 30.91549, 1.43233, 38124.0, 126412.964, 1.76842
116, 43.472, 1.03279, 1000.0, 29.61905, 1.37984, 37572.164, 126738.546, 1.71088
117, 42.876, 1.0375, 975.90361, 29.77778, 1.45247, 37016.33, 127106.018, 1.69474
118, 42.296, 1.17391, 981.48148, 29.60377, 1.40226, 36416.806, 127459.942, 1.71309
119, 41.71, 1.05455, 982.75862, 29.94737, 1.42636, 35839.016, 127801.002, 1.67507
120, 41.098, 1.05357, 966.10169, 29.54386, 1.4052, 35246.924, 128156.884, 1.68103
121, 40.542, 1.0, 1000.0, 29.34545, 1.424, 34683.68, 128480.764, 1.62428
122, 39.976, 1.03448, 1000.0, 30.31667, 1.42063, 34141.766, 128794.796, 1.59012
123, 39.412, 1.04651, 977.77778, 29.81818, 1.37247, 33596.974, 129080.93, 1.59701
124, 38.926, 1.02174, 1000.0, 29.55319, 1.34764, 33096.328, 129328.326, 1.54381
125, 38.338, 1.0566, 1000.0, 29.07143, 1.42913, 32534.806, 129655.554, 1.55625
126, 37.84, 1.13636, 980.0, 29.14286, 1.3547, 32039.692, 129900.88, 1.52866
127, 37.336, 1.0, 978.7234, 30.06522, 1.34413, 31520.0, 130164.812, 1.51525
128, 36.806, 1.05769, 1000.0, 28.63636, 1.29536, 31058.202, 130390.294, 1.49837
129, 36.308, 1.07692, 1000.0, 29.54762, 1.34685, 30583.882, 130603.212, 1.46753
130, 35.812, 1.05405, 1000.0, 30.97436, 1.38605, 30110.132, 130809.896, 1.45545
131, 35.266, 1.05128, 1000.0, 29.02439, 1.3083, 29581.448, 131075.996, 1.45205
132, 34.826, 1.06061, 971.42857, 30.23529, 1.34615, 29125.904, 131254.234, 1.40989
133, 34.274, 1.1, 1000.0, 29.29545, 1.3125, 28641.11, 131484.024, 1.40767
134, 33.854, 1.04651, 1000.0, 28.84444, 1.25243, 28255.524, 131615.614, 1.41197
135, 33.35, 1.11429, 1000.0, 28.33333, 1.33188, 27773.792, 131833.112, 1.44403
136, 32.958, 1.0303, 1000.0, 29.5, 1.28125, 27381.862, 131949.83, 1.41603
137, 32.468, 1.0, 969.69697, 29.75, 1.34884, 26919.954, 132133.372, 1.40784
138, 31.994, 1.0, 1000.0, 30.34783, 1.35945, 26429.214, 132328.862, 1.35
139, 31.508, 1.0303, 1029.41176, 28.88571, 1.27602, 25975.594, 132510.432, 1.36325
140, 30.974, 1.0, 1000.0, 29.0, 1.27615, 25487.448, 132713.226, 1.33333
141, 30.56, 1.02941, 1000.0, 29.62857, 1.2963, 25099.692, 132831.198, 1.31466
142, 30.03, 1.05882, 1027.77778, 27.89189, 1.32456, 24641.776, 133024.084, 1.29362
143, 29.578, 1.04167, 1000.0, 27.76, 1.32512, 24209.486, 133166.85, 1.29412
144, 29.176, 1.0, 1045.45455, 27.47826, 1.21782, 23816.592, 133268.77, 1.29557
145, 28.802, 1.0, 1062.5, 29.02941, 1.21164, 23471.494, 133344.574, 1.27136
146, 28.416, 1.03448, 1000.0, 28.6, 1.24444, 23116.96, 133420.282, 1.29231
147, 27.986, 1.0, 1058.82353, 30.33333, 1.22843, 22713.652, 133522.208, 1.28042
148, 27.544, 1.05714, 1027.02703, 29.21053, 1.2449, 22350.496, 133625.22, 1.31959
149, 27.162, 1.11111, 1000.0, 27.93333, 1.26705, 22011.942, 133688.652, 1.30256
150, 26.798, 1.03448, 933.33333, 27.07143, 1.26543, 21700.228, 133721.092, 1.29851
151, 26.44, 1.0, 1045.45455, 26.30435, 1.30488, 21359.014, 133771.68, 1.27835
152, 26.072, 1.0, 1000.0, 28.52632, 1.25434, 21005.034, 133828.284, 1.25806
153, 25.64, 1.0, 1000.0, 29.88889, 1.26563, 20607.966, 133928.508, 1.26404
